ASVs	treatment	node	degree	Row.names	Phylum	Class	Order	Family	Genus	Species	Confidence
ASV1	CON	1	1	2e58ed208e328a041a05626fd1502922	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	 g__Prevotella	0.9999999
ASV1084	CON	1	1	82f0042c4903952d0bacb550c6ab9dd7	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	 g__Ruminococcus	0.7592926
ASV152	CON	1	4	47504daed5bdb48a5f5163c2584dab90	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	 g__Blautia	0.9816392
ASV122	CON	2	1	95a78423f0005816ab735330b6c2c52f	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.9963384
ASV145	CON	2	6	c3a11a54490025206ef21001cbadb86b	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	 f__Lachnospiraceae	 f__Lachnospiraceae	0.8124291
ASV181	CON	2	1	f180cc12a5b2588fc29a3559f64d7431	Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.9907906
ASV197	CON	2	2	20fdae8b35d0d33fed324bb0777e9999	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	 f__Lachnospiraceae	 f__Lachnospiraceae	0.9908381
ASV206	CON	2	1	a631088bfff77e35ce8e24549c1092b1	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	 s__flavefaciens	0.9997615
ASV319	CON	2	2	26f286ab4bf62da798843675c1be0150	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.9992287
ASV361	CON	2	1	2ed114dbb7bea50c85c8a77b992fd7a3	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	 g__Oscillospira	0.8622009
ASV366	CON	2	2	bcb79018ec3d0ca8bc64a6572267c752	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	 g__Ruminococcus	0.8730521
ASV435	CON	2	1	f75b54af3da9200a2d50bd003cccc3e2	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	 f__S24-7	 f__S24-7	0.9999991
ASV462	CON	2	2	c0523309d8593d4701dc6d48a8068e69	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.8649237
ASV464	CON	2	1	b2f4908d879968eddee0b1cc7a501039	Firmicutes	Clostridia	Clostridiales	Mogibacteriaceae	 f__Mogibacteriaceae	 f__Mogibacteriaceae	0.9999997
ASV482	CON	2	2	3000e91a516848fe3ef115a397d8cc75	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	 g__Dorea	0.9999746
ASV488	CON	2	1	39c0eb5006deecbd088cba3aa1d2c8fd	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	 f__Erysipelotrichaceae	 f__Erysipelotrichaceae	0.9998669
ASV493	CON	2	4	b450b9fa943b7252c5a5fb30da26ad83	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	 g__Coprococcus	0.779302
ASV514	CON	2	10	32c9ebd9b60c29f50f81afb37dd51a27	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	 g__Dorea	0.9729469
ASV548	CON	2	1	97cbae66dfcbcfbbab6b26aeaabe4977	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	 f__Peptostreptococcaceae	 f__Peptostreptococcaceae	0.8256386
ASV58	CON	2	1	e24c5a000ae34541a243675d8f666f21	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.9944863
ASV624	CON	2	1	9fe62d966d3fd5803740e0018a30ab26	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	 g__Blautia	0.9981904
