row.names	sample	calf	batch	block	pen	LPS	Antibiotic	treatment	day	d
X2_d28	2_d28	2	1	2	4	No	N	SCFP	28	1
X3_d28	3_d28	3	1	2	4	No	Y	SCFP	28	1
X4_d28	4_d28	4	1	1	1	No	N	CON	28	1
X5_d28	5_d28	5	1	3	5	No	Y	CON	28	1
X6_d28	6_d28	6	1	2	3	No	N	CON	28	1
X7_d28	7_d28	7	1	1	1	No	Y	CON	28	1
X8_d28	8_d28	8	1	3	6	No	N	SCFP	28	1
X9_d28	9_d28	9	1	3	6	No	Y	SCFP	28	1
X10_d28	10_d28	10	1	1	1	No	Y	CON	28	1
X11_d28	11_d28	11	1	3	5	No	N	CON	28	1
X12_d28	12_d28	12	1	1	2	No	N	SCFP	28	1
X13_d28	13_d28	13	1	2	3	No	N	CON	28	1
X14_d28	14_d28	14	1	3	6	No	N	SCFP	28	1
X15_d28	15_d28	15	1	2	3	No	Y	CON	28	1
X16_d28	16_d28	16	1	3	5	No	Y	CON	28	1
X17_d28	17_d28	17	1	3	5	No	N	CON	28	1
X18_d28	18_d28	18	1	2	3	No	Y	CON	28	1
X19_d28	19_d28	19	1	1	1	No	Y	CON	28	1
X20_d28	20_d28	20	1	2	4	No	N	SCFP	28	1
X21_d28	21_d28	21	1	3	6	No	Y	SCFP	28	1
X22_d28	22_d28	22	1	2	4	No	N	SCFP	28	1
X23_d28	23_d28	23	1	3	5	No	Y	CON	28	1
X24_d28	24_d28	24	1	2	4	No	Y	SCFP	28	1
X25_d28	25_d28	25	1	3	6	No	N	SCFP	28	1
X26_d28	26_d28	26	1	1	2	No	Y	SCFP	28	1
X27_d28	27_d28	27	1	1	2	No	Y	SCFP	28	1
X28_d28	28_d28	28	1	1	2	No	Y	SCFP	28	1
X29_d28	29_d28	29	1	2	3	No	Y	CON	28	1
X30_d28	30_d28	30	1	1	2	No	Y	SCFP	28	1
X61_d28	61_d28	61	2	2	9	No	Y	CON	28	1
X62_d28	62_d28	62	2	3	12	No	N	SCFP	28	1
X64_d28	64_d28	64	2	1	7	No	Y	CON	28	1
X65_d28	65_d28	65	2	3	12	No	Y	SCFP	28	1
X66_d28	66_d28	66	2	3	11	No	N	CON	28	1
X67_d28	67_d28	67	2	1	7	No	Y	CON	28	1
X68_d28	68_d28	68	2	1	7	No	Y	CON	28	1
X69_d28	69_d28	69	2	3	12	No	N	SCFP	28	1
X70_d28	70_d28	70	2	3	11	No	Y	CON	28	1
X71_d28	71_d28	71	2	2	10	No	N	SCFP	28	1
X72_d28	72_d28	72	2	3	11	No	Y	CON	28	1
X73_d28	73_d28	73	2	3	12	No	N	SCFP	28	1
X74_d28	74_d28	74	2	2	10	No	N	SCFP	28	1
X75_d28	75_d28	75	2	2	10	No	Y	SCFP	28	1
X76_d28	76_d28	76	2	1	8	No	Y	SCFP	28	1
X77_d28	77_d28	77	2	1	8	No	Y	SCFP	28	1
X78_d28	78_d28	78	2	1	8	No	Y	SCFP	28	1
X79_d28	79_d28	79	2	3	11	No	Y	CON	28	1
X80_d28	80_d28	80	2	2	9	No	Y	CON	28	1
X81_d28	81_d28	81	2	2	10	No	N	SCFP	28	1
X82_d28	82_d28	82	2	1	8	No	Y	SCFP	28	1
X84_d28	84_d28	84	2	1	8	No	N	SCFP	28	1
X85_d28	85_d28	85	2	2	10	No	N	SCFP	28	1
X86_d28	86_d28	86	2	2	9	No	Y	CON	28	1
X88_d28	88_d28	88	2	1	7	No	Y	CON	28	1
X89_d28	89_d28	89	2	2	9	No	N	CON	28	1
X90_d28	90_d28	90	2	3	11	No	N	CON	28	1
X2_d56	2_d56	2	1	2	4	No	N	SCFP	56	2
X3_d56	3_d56	3	1	2	4	Yes	P-A56	SCFP	56	2
X4_d56	4_d56	4	1	1	1	Yes	N	CON	56	2
X5_d56	5_d56	5	1	3	5	No	P-A56	CON	56	2
X6_d56	6_d56	6	1	2	3	Yes	N	CON	56	2
X7_d56	7_d56	7	1	1	1	No	P-A56	CON	56	2
X8_d56	8_d56	8	1	3	6	No	N	SCFP	56	2
X9_d56	9_d56	9	1	3	6	No	P-A56	SCFP	56	2
X10_d56	10_d56	10	1	1	1	Yes	P-A56	CON	56	2
X11_d56	11_d56	11	1	3	5	No	N	CON	56	2
X12_d56	12_d56	12	1	1	2	No	N	SCFP	56	2
X13_d56	13_d56	13	1	2	3	Yes	N	CON	56	2
X14_d56	14_d56	14	1	3	6	Yes	N	SCFP	56	2
X15_d56	15_d56	15	1	2	3	No	P-A56	CON	56	2
X16_d56	16_d56	16	1	3	5	Yes	P-A56	CON	56	2
X17_d56	17_d56	17	1	3	5	No	N	CON	56	2
X18_d56	18_d56	18	1	2	3	No	P-A56	CON	56	2
X19_d56	19_d56	19	1	1	1	No	P-A56	CON	56	2
X20_d56	20_d56	20	1	2	4	Yes	N	SCFP	56	2
X21_d56	21_d56	21	1	3	6	No	P-A56	SCFP	56	2
X23_d56	23_d56	23	1	3	5	No	P-A56	CON	56	2
X24_d56	24_d56	24	1	2	4	No	P-A56	SCFP	56	2
X26_d56	26_d56	26	1	1	2	No	P-A56	SCFP	56	2
X27_d56	27_d56	27	1	1	2	No	P-A56	SCFP	56	2
X28_d56	28_d56	28	1	1	2	No	P-A56	SCFP	56	2
X29_d56	29_d56	29	1	2	3	No	P-A56	CON	56	2
X30_d56	30_d56	30	1	1	2	No	P-A56	SCFP	56	2
X61_d56	61_d56	61	2	2	9	No	P-A56	CON	56	2
X62_d56	62_d56	62	2	3	12	Yes	N	SCFP	56	2
X64_d56	64_d56	64	2	1	7	Yes	P-A56	CON	56	2
X65_d56	65_d56	65	2	3	12	Yes	Y	SCFP	56	2
X66_d56	66_d56	66	2	3	11	No	Y	CON	56	2
X67_d56	67_d56	67	2	1	7	Yes	P-A56	CON	56	2
X68_d56	68_d56	68	2	1	7	No	Y	CON	56	2
X70_d56	70_d56	70	2	3	11	Yes	P-A56	CON	56	2
X71_d56	71_d56	71	2	2	10	Yes	N	SCFP	56	2
X72_d56	72_d56	72	2	3	11	Yes	P-A56	CON	56	2
X73_d56	73_d56	73	2	3	12	No	Y	SCFP	56	2
X74_d56	74_d56	74	2	2	10	No	N	SCFP	56	2
X75_d56	75_d56	75	2	2	10	Yes	P-A56	SCFP	56	2
X76_d56	76_d56	76	2	1	8	No	P-A56	SCFP	56	2
X77_d56	77_d56	77	2	1	8	Yes	P-A56	SCFP	56	2
X78_d56	78_d56	78	2	1	8	Yes	Y	SCFP	56	2
X79_d56	79_d56	79	2	3	11	Yes	P-A56	CON	56	2
X80_d56	80_d56	80	2	2	9	Yes	P-A56	CON	56	2
X81_d56	81_d56	81	2	2	10	Yes	N	SCFP	56	2
X82_d56	82_d56	82	2	1	8	Yes	P-A56	SCFP	56	2
X83_d56	83_d56	83	2	3	12	Yes	N	SCFP	56	2
X84_d56	84_d56	84	2	1	8	No	N	SCFP	56	2
X85_d56	85_d56	85	2	2	10	No	N	SCFP	56	2
X86_d56	86_d56	86	2	2	9	Yes	P-A56	CON	56	2
X88_d56	88_d56	88	2	1	7	Yes	P-A56	CON	56	2
X89_d56	89_d56	89	2	2	9	Yes	N	CON	56	2
X90_d56	90_d56	90	2	3	11	Yes	N	CON	56	2
X2_d84	2_d84	2	1	2	4	No	N	SCFP	84	3
X3_d84	3_d84	3	1	2	4	P-LPS84	P-A84	SCFP	84	3
X4_d84	4_d84	4	1	1	1	P-LPS84	N	CON	84	3
X5_d84	5_d84	5	1	3	5	No	P-A84	CON	84	3
X6_d84	6_d84	6	1	2	3	P-LPS84	N	CON	84	3
X7_d84	7_d84	7	1	1	1	No	P-A84	CON	84	3
X8_d84	8_d84	8	1	3	6	No	N	SCFP	84	3
X9_d84	9_d84	9	1	3	6	No	P-A84	SCFP	84	3
X10_d84	10_d84	10	1	1	1	P-LPS84	P-A84	CON	84	3
X11_d84	11_d84	11	1	3	5	No	N	CON	84	3
X12_d84	12_d84	12	1	1	2	No	N	SCFP	84	3
X13_d84	13_d84	13	1	2	3	P-LPS84	N	CON	84	3
X14_d84	14_d84	14	1	3	6	P-LPS84	N	SCFP	84	3
X15_d84	15_d84	15	1	2	3	No	P-A84	CON	84	3
X16_d84	16_d84	16	1	3	5	P-LPS84	P-A84	CON	84	3
X17_d84	17_d84	17	1	3	5	No	N	CON	84	3
X18_d84	18_d84	18	1	2	3	No	P-A84	CON	84	3
X19_d84	19_d84	19	1	1	1	No	P-A84	CON	84	3
X20_d84	20_d84	20	1	2	4	P-LPS84	N	SCFP	84	3
X21_d84	21_d84	21	1	3	6	No	P-A84	SCFP	84	3
X23_d84	23_d84	23	1	3	5	No	P-A84	CON	84	3
X24_d84	24_d84	24	1	2	4	No	P-A84	SCFP	84	3
X26_d84	26_d84	26	1	1	2	No	P-A84	SCFP	84	3
X27_d84	27_d84	27	1	1	2	No	P-A84	SCFP	84	3
X28_d84	28_d84	28	1	1	2	No	P-A84	SCFP	84	3
X29_d84	29_d84	29	1	2	3	No	P-A84	CON	84	3
X30_d84	30_d84	30	1	1	2	No	P-A84	SCFP	84	3
X61_d84	61_d84	61	2	2	9	No	P-A84	CON	84	3
X62_d84	62_d84	62	2	3	12	P-LPS84	N	SCFP	84	3
X64_d84	64_d84	64	2	1	7	P-LPS84	Y	CON	84	3
X65_d84	65_d84	65	2	3	12	P-LPS84	P-A84	SCFP	84	3
X66_d84	66_d84	66	2	3	11	No	P-A84	CON	84	3
X68_d84	68_d84	68	2	1	7	No	Y	CON	84	3
X70_d84	70_d84	70	2	3	11	P-LPS84	P-A84	CON	84	3
X71_d84	71_d84	71	2	2	10	P-LPS84	N	SCFP	84	3
X72_d84	72_d84	72	2	3	11	P-LPS84	P-A84	CON	84	3
X73_d84	73_d84	73	2	3	12	No	P-A84	SCFP	84	3
X74_d84	74_d84	74	2	2	10	No	N	SCFP	84	3
X75_d84	75_d84	75	2	2	10	P-LPS84	P-A84	SCFP	84	3
