Row.names,pred,d,treatment,id
X10_d112,3.65125,4,CON,10
X10_d56,2.122807018,2,CON,10
X10_d84,3.096666667,3,CON,10
X11_d112,3.930232558,4,CON,11
X11_d28,1.135763889,1,CON,11
X11_d56,2.055555556,2,CON,11
X11_d84,3.488095238,3,CON,11
X13_d112,3.621354167,4,CON,13
X13_d28,1.054901961,1,CON,13
X13_d56,1.88372093,2,CON,13
X13_d84,2.897727273,3,CON,13
X15_d112,3.850396825,4,CON,15
X15_d28,1.206666667,1,CON,15
X15_d56,1.648913043,2,CON,15
X15_d84,2.659574468,3,CON,15
X16_d112,4,4,CON,16
X16_d28,1.255813953,1,CON,16
X16_d56,2.170212766,2,CON,16
X16_d84,3.313953488,3,CON,16
X17_d112,3.864379085,4,CON,17
X17_d28,1.11625,1,CON,17
X17_d56,2.012152778,2,CON,17
X17_d84,2.718085106,3,CON,17
X18_d112,3.702898551,4,CON,18
X18_d28,1.764814815,1,CON,18
X18_d56,2,2,CON,18
X18_d84,3.016666667,3,CON,18
X19_d112,3.421985816,4,CON,19
X19_d28,1.065116279,1,CON,19
X19_d56,1.651041667,2,CON,19
X19_d84,3.025,3,CON,19
X23_d112,4,4,CON,23
X23_d28,1.165,1,CON,23
X23_d56,1.977358491,2,CON,23
X23_d84,2.85212766,3,CON,23
X29_d112,3.378735632,4,CON,29
X29_d28,1.048780488,1,CON,29
X29_d56,1.564539007,2,CON,29
X29_d84,2.60125,3,CON,29
X4_d112,3.777777778,4,CON,4
X4_d28,1.034722222,1,CON,4
X4_d56,2.052631579,2,CON,4
X4_d84,3.482738095,3,CON,4
X5_d112,3.727659574,4,CON,5
X5_d28,1.514341085,1,CON,5
X5_d56,1.991666667,2,CON,5
X5_d84,2.808823529,3,CON,5
X6_d112,3.886524823,4,CON,6
X6_d28,1.035984848,1,CON,6
X6_d56,2.19047619,2,CON,6
X6_d84,3.137777778,3,CON,6
X61_d112,3.116319444,4,CON,61
X61_d28,1.336296296,1,CON,61
X61_d56,1.860465116,2,CON,61
X61_d84,3.054237288,3,CON,61
X64_d112,3.726724138,4,CON,64
X64_d28,1.574074074,1,CON,64
X64_d56,1.927966102,2,CON,64
X64_d84,2.261904762,3,CON,64
X66_d112,3.381300813,4,CON,66
X66_d28,1.837209302,1,CON,66
X66_d56,1.216666667,2,CON,66
X66_d84,2.981132075,3,CON,66
X67_d28,1.011111111,1,CON,67
X67_d56,1.955128205,2,CON,67
X68_d112,3.676829268,4,CON,68
X68_d28,1.109375,1,CON,68
X68_d56,1.955882353,2,CON,68
X68_d84,2.716981132,3,CON,68
X7_d112,3.977272727,4,CON,7
X7_d28,1.189236111,1,CON,7
X7_d56,1.901960784,2,CON,7
X7_d84,2.965116279,3,CON,7
X70_d112,3.837037037,4,CON,70
X70_d28,1.171527778,1,CON,70
X70_d56,1.990740741,2,CON,70
X70_d84,3.270440252,3,CON,70
X72_d112,3.762601626,4,CON,72
X72_d28,1.415,1,CON,72
X72_d56,2.048780488,2,CON,72
X72_d84,3.506410256,3,CON,72
X79_d112,3.822115385,4,CON,79
X79_d28,1.36122449,1,CON,79
X79_d56,2.015625,2,CON,79
X79_d84,3.086666667,3,CON,79
X80_d112,3.454444444,4,CON,80
X80_d28,1.191489362,1,CON,80
X80_d56,1.972222222,2,CON,80
X80_d84,2.945945946,3,CON,80
X86_d112,3.980392157,4,CON,86
X86_d28,1.149621212,1,CON,86
X86_d56,1.381147541,2,CON,86
X86_d84,2.93627451,3,CON,86
X88_d112,3.716666667,4,CON,88
X88_d28,1.122131148,1,CON,88
X88_d56,1.961764706,2,CON,88
X88_d84,3.1,3,CON,88
X89_d112,3.980769231,4,CON,89
X89_d28,1.125,1,CON,89
X89_d56,2.012418301,2,CON,89
X89_d84,3.673469388,3,CON,89
X90_d112,3.446511628,4,CON,90
X90_d28,1.544117647,1,CON,90
X90_d56,2.21577381,2,CON,90
X90_d84,3.224637681,3,CON,90
X12_d112,3.749479167,4,SCFP,12
X12_d28,1.164973958,1,SCFP,12
X12_d56,2.162109375,2,SCFP,12
X12_d84,2.821354167,3,SCFP,12
X14_d112,3.924348958,4,SCFP,14
X14_d28,1.417057292,1,SCFP,14
X14_d56,2.177734375,2,SCFP,14
X14_d84,3.134765625,3,SCFP,14
X2_d112,3.955078125,4,SCFP,2
X2_d28,1.021875,1,SCFP,2
X2_d56,1.990234375,2,SCFP,2
X2_d84,3.1265625,3,SCFP,2
X20_d112,3.875260417,4,SCFP,20
X20_d28,1.118489583,1,SCFP,20
X20_d56,2.375,2,SCFP,20
X20_d84,3.13828125,3,SCFP,20
X21_d112,3.638151042,4,SCFP,21
X21_d28,1.200130208,1,SCFP,21
X21_d56,2.11328125,2,SCFP,21
X21_d84,3.036458333,3,SCFP,21
X22_d28,1.062760417,1,SCFP,22
X24_d112,3.984375,4,SCFP,24
X24_d28,1.617578125,1,SCFP,24
X24_d56,2.16953125,2,SCFP,24
X24_d84,3.141536458,3,SCFP,24
X25_d28,1.197395833,1,SCFP,25
X26_d112,3.806640625,4,SCFP,26
