	observed_otus
1_d0	99
10_d0	97
10_d112	455
10_d28	269
10_d56	236
10_d84	401
11_d0	55
11_d112	519
11_d28	173
11_d56	244
11_d84	366
12_d0	116
12_d112	462
12_d28	183
12_d56	244
12_d84	474
13_d0	106
13_d112	609
13_d28	196
13_d56	350
13_d84	344
14_d0	104
14_d112	450
14_d28	197
14_d56	304
14_d84	361
15_d0	192
15_d112	412
15_d28	149
15_d56	314
15_d84	327
16_d0	71
16_d112	384
16_d28	153
16_d56	315
16_d84	655
17_d112	398
17_d28	223
17_d56	68
17_d84	382
18_d0	62
18_d112	416
18_d28	126
18_d56	238
18_d84	381
19_d112	385
19_d28	170
19_d56	205
19_d84	391
2_d0	61
2_d112	391
2_d28	244
2_d56	337
2_d84	482
20_d0	50
20_d112	539
20_d28	214
20_d56	339
20_d84	399
21_d0	61
21_d112	523
21_d28	238
21_d56	238
21_d84	419
22_d28	208
23_d112	407
23_d28	163
23_d56	288
23_d84	362
24_d0	123
24_d112	477
24_d28	218
24_d56	255
24_d84	435
25_d0	57
25_d28	203
26_d0	95
26_d112	431
26_d28	113
26_d56	284
26_d84	355
27_d112	484
27_d56	283
27_d84	389
28_d112	516
28_d28	104
28_d56	226
28_d84	386
29_d0	55
29_d112	332
29_d28	141
29_d56	229
29_d84	417
3_d0	95
3_d112	493
3_d28	178
3_d56	232
3_d84	528
30_d112	499
30_d28	153
30_d56	284
30_d84	415
4_d0	75
4_d112	446
4_d28	219
4_d56	362
4_d84	555
5_d0	68
5_d112	497
5_d28	141
5_d56	200
5_d84	376
6_d0	99
6_d112	447
6_d28	264
6_d56	356
6_d84	368
61_d0	260
61_d112	412
61_d28	156
61_d56	249
61_d84	350
62_d0	338
62_d112	586
62_d28	190
62_d56	263
62_d84	403
63_d0	251
64_d0	452
64_d112	608
64_d28	267
64_d56	247
64_d84	203
65_d0	320
65_d112	496
65_d28	235
65_d56	186
65_d84	286
66_d0	91
66_d112	445
66_d28	353
66_d56	238
66_d84	442
67_d0	106
67_d28	231
67_d56	242
68_d0	76
68_d112	526
68_d28	163
68_d56	276
68_d84	341
69_d0	533
69_d28	202
7_d112	426
7_d28	224
7_d56	269
7_d84	349
70_d0	212
70_d112	421
70_d28	215
70_d56	251
70_d84	626
71_d0	288
71_d112	508
71_d28	233
71_d56	273
71_d84	403
72_d0	269
72_d112	506
72_d28	220
72_d56	226
72_d84	396
73_d0	106
73_d112	529
73_d28	187
73_d56	110
73_d84	322
74_d0	100
74_d112	637
74_d28	177
74_d56	274
74_d84	366
75_d0	97
75_d112	515
75_d28	216
75_d56	191
75_d84	275
76_d0	74
76_d112	485
76_d28	168
76_d56	254
76_d84	344
77_d0	238
77_d112	621
77_d28	197
77_d56	193
77_d84	337
78_d0	189
78_d112	580
78_d28	198
78_d56	219
78_d84	431
79_d0	70
79_d112	540
79_d28	195
79_d56	305
79_d84	455
8_d0	63
8_d112	571
8_d28	189
8_d56	343
8_d84	386
80_d0	62
80_d112	762
80_d28	257
80_d56	296
80_d84	364
81_d0	73
81_d112	583
81_d28	218
81_d56	243
81_d84	434
82_d0	484
82_d28	188
82_d56	231
83_d0	164
83_d112	573
83_d56	280
83_d84	575
84_d0	358
84_d112	517
84_d28	301
84_d56	342
84_d84	418
85_d0	86
85_d112	501
85_d28	269
85_d56	301
85_d84	392
86_d0	101
86_d112	582
86_d28	212
86_d56	294
86_d84	352
87_d0	38
88_d0	50
88_d112	462
88_d28	284
88_d56	278
88_d84	298
89_d0	62
89_d112	584
89_d28	243
89_d56	317
89_d84	424
9_d0	95
9_d112	515
9_d28	209
9_d56	261
9_d84	398
90_d0	142
90_d112	464
90_d28	185
90_d56	256
90_d84	412
