OTU_ID	1_d0	10_d0	10_d112	10_d28	10_d56	10_d84	11_d0	11_d112	11_d28	11_d56	11_d84	12_d0	12_d112	12_d28	12_d56	12_d84	13_d0	13_d112	13_d28	13_d56	13_d84	14_d0	14_d112	14_d28	14_d56	14_d84	15_d0	15_d112	15_d28	15_d56	15_d84	16_d0	16_d112	16_d28	16_d56	16_d84	17_d112	17_d28	17_d56	17_d84	18_d0	18_d112	18_d28	18_d56	18_d84	19_d112	19_d28	19_d56	19_d84	2_d0	2_d112	2_d28	2_d56	2_d84	20_d0	20_d112	20_d28	20_d56	20_d84	21_d0	21_d112	21_d28	21_d56	21_d84	22_d28	23_d112	23_d28	23_d56	23_d84	24_d0	24_d112	24_d28	24_d56	24_d84	25_d0	25_d28	26_d0	26_d112	26_d28	26_d56	26_d84	27_d112	27_d56	27_d84	28_d112	28_d28	28_d56	28_d84	29_d0	29_d112	29_d28	29_d56	29_d84	3_d0	3_d112	3_d28	3_d56	3_d84	30_d112	30_d28	30_d56	30_d84	4_d0	4_d112	4_d28	4_d56	4_d84	5_d0	5_d112	5_d28	5_d56	5_d84	6_d0	6_d112	6_d28	6_d56	6_d84	61_d0	61_d112	61_d28	61_d56	61_d84	62_d0	62_d112	62_d28	62_d56	62_d84	63_d0	64_d0	64_d112	64_d28	64_d56	64_d84	65_d0	65_d112	65_d28	65_d56	65_d84	66_d0	66_d112	66_d28	66_d56	66_d84	67_d0	67_d28	67_d56	68_d0	68_d112	68_d28	68_d56	68_d84	69_d0	69_d28	7_d112	7_d28	7_d56	7_d84	70_d0	70_d112	70_d28	70_d56	70_d84	71_d0	71_d112	71_d28	71_d56	71_d84	72_d0	72_d112	72_d28	72_d56	72_d84	73_d0	73_d112	73_d28	73_d56	73_d84	74_d0	74_d112	74_d28	74_d56	74_d84	75_d0	75_d112	75_d28	75_d56	75_d84	76_d0	76_d112	76_d28	76_d56	76_d84	77_d0	77_d112	77_d28	77_d56	77_d84	78_d0	78_d112	78_d28	78_d56	78_d84	79_d0	79_d112	79_d28	79_d56	79_d84	8_d0	8_d112	8_d28	8_d56	8_d84	80_d0	80_d112	80_d28	80_d56	80_d84	81_d0	81_d112	81_d28	81_d56	81_d84	82_d0	82_d28	82_d56	83_d0	83_d112	83_d56	83_d84	84_d0	84_d112	84_d28	84_d56	84_d84	85_d0	85_d112	85_d28	85_d56	85_d84	86_d0	86_d112	86_d28	86_d56	86_d84	87_d0	88_d0	88_d112	88_d28	88_d56	88_d84	89_d0	89_d112	89_d28	89_d56	89_d84	9_d0	9_d112	9_d28	9_d56	9_d84	90_d0	90_d112	90_d28	90_d56	90_d84
2e58ed208e328a041a05626fd1502922	0	0	2	0	0	823	0	91	0	0	541	0	278	0	0	965	0	766	1	812	1415	0	229	0	37	1747	0	763	0	0	2525	0	1109	50	16	507	1374	0	0	0	0	672	0	2715	147	1797	0	0	1565	0	374	0	0	721	0	103	0	268	609	0	0	0	132	539	0	1005	0	1976	3009	0	959	39	361	1266	0	0	0	793	0	0	693	986	615	340	1085	0	0	271	0	706	0	0	1436	0	556	0	25	1119	2566	0	33	911	0	747	0	0	2167	0	644	0	0	0	0	414	0	0	748	0	3340	0	126	1747	0	963	4	78	1235	77	472	1488	942	1375	3793	292	1168	29	9	1663	10	122	566	0	3179	26	1	164	5	1696	11	715	1298	253	17	411	0	3	2220	52	1132	0	24	3757	118	2169	16	49	3472	115	4227	2	226	3316	0	643	0	29	424	0	227	32	62	973	0	1330	1002	9	878	8	711	2	0	2723	51	3616	0	4	1610	15	1219	7	90	2045	0	756	53	493	4341	0	204	0	23	185	0	222	5	51	773	0	175	77	615	1675	249	22	116	37	44	244	1129	165	537	875	301	2893	0	833	31	95	1437	40	309	11	6	1572	0	0	2490	32	50	821	1	805	7	455	2388	0	428	0	18	46	12	798	0	43	2489
973ffbd4e3128eca6423210fda77fa2c	597	1509	8	19	1	2	3566	13	100	25	17	5188	5	37	16	460	3775	11	0	87	9	879	14	106	142	35	6950	36	7	10	12	6378	8	813	16	61	23	84	593	8	5418	40	13	6	14	8	10	20	8	261	4	3	18	14	2607	3	2	23	2	491	2	4	4	32	12	10	6	36	1	740	3	4	11	8	5820	4	2243	34	0	9	16	0	12	9	4	90	18	105	13510	0	353	461	29	2418	5	4	7	2	6	362	36	3	4084	4	95	4	9	2236	3	2264	26	4	1682	102	261	8	27	3323	4	5	5	1	797	1	0	206	3	1576	482	3	3	27	3	6068	0	9	2	1	7743	3	8	15	3	7580	1	6	5070	1	16	1	6	3576	56	7	39	7	9	4596	1	36	110	3	1007	3	14	4	1	591	2	2	5	8	1109	3	5	17	5	2765	1	14	5	7	2191	0	7	8	0	141	0	7	13	7	818	4	14	0	5	646	9	11	7	4	1210	0	17	3	18	581	22	4	161	103	1879	0	5	3	21	1684	0	6	3	0	4374	7	151	1690	2	18	4	2517	6	0	3	3	713	5	1	32	1	3993	0	50	5	13	8052	3095	1	2	6	3	679	4	15	4	0	377	7	46	3	15	324	2	2	5	1
b57a954469bc8b944515c31775df8842	2	79	384	176	29	1353	2	316	252	1322	159	13	252	2243	1541	565	5	683	1151	133	845	1	134	6272	1509	228	0	1299	1232	348	557	0	264	3147	743	173	170	1040	0	184	0	407	1201	510	677	517	2126	1773	222	4	177	1897	499	516	0	538	157	199	564	0	225	746	230	726	2410	663	7	425	57	11	498	384	1273	1612	0	1097	29	323	393	337	64	274	654	254	179	385	463	90	0	558	4203	1625	272	12	377	2129	932	778	307	2547	582	127	0	254	1191	566	208	9	344	1178	1649	43	0	205	146	1447	645	368	82	270	446	308	433	173	278	660	216	18	371	244	280	619	1429	297	132	416	1782	651	0	740	837	578	638	2	147	1883	0	178	15	2216	880	99	4632	220	21	1520	335	18	228	25	160	569	48	59	66	518	308	19	2	789	586	340	0	215	677	20	436	0	320	78	245	519	3	253	1608	761	409	1	59	446	880	256	31	124	1403	542	570	15	59	514	846	381	0	59	12	250	252	0	181	245	1004	973	9	197	183	672	373	0	336	171	869	399	167	2	792	21	55	384	1579	56	231	1017	125	245	0	306	634	120	444	0	238	655	307	460	0	0	109	665	39	339	0	132	2020	799	278	0	84	3217	780	539	4	0	369	1203	137
a09b58bd8ec236962ee2551cae46d046	7221	9394	0	0	0	0	308	5	177	0	0	6079	0	16	0	47	4403	0	120	0	0	10449	0	0	0	0	297	0	1848	0	0	864	4	0	0	0	0	0	2143	0	127	0	0	0	0	0	0	0	0	3196	0	0	0	0	29	0	54	0	0	392	0	0	0	3	27	0	0	0	0	3652	0	97	0	0	16	29	61	0	0	0	0	0	0	0	0	3080	0	0	7	0	0	0	15	5913	0	76	0	0	0	0	0	7	5280	0	0	0	0	6329	8	0	0	7	2934	0	0	0	0	21	0	482	0	0	0	0	0	0	0	57	9	0	0	0	0	21	0	0	0	0	925	0	843	0	0	88	15	0	0	0	81	0	0	710	27	0	0	0	0	8	0	0	0	0	1050	0	0	0	0	2879	0	0	0	0	4613	0	0	5518	0	1227	0	0	0	0	416	0	0	0	0	5372	0	0	0	0	2987	0	0	0	0	6329	0	0	0	0	533	0	0	0	0	5015	371	110	0	0	0	1	0	0	0	2726	0	0	0	0	25	0	0	2218	0	0	0	61	0	0	0	0	3832	0	0	0	0	3895	0	0	0	0	3	1856	0	0	0	0	3912	0	0	0	0	5155	19	0	0	5	32	1	5	0	0
2a02056bb1ab0a1fc8e6526f94fc5d38	0	0	386	17	6	149	0	241	0	0	816	0	616	11	43	630	3	247	9	15	164	0	107	5	46	118	0	139	4	6	128	0	245	93	82	509	347	0	0	694	0	1635	48	678	927	1091	19	142	1247	0	454	13	0	1696	0	273	601	97	191	0	89	173	10	115	25	1112	502	68	632	0	1217	352	456	503	0	40	4	1336	0	669	292	963	1319	263	824	41	1558	1559	0	1375	49	75	1359	0	997	471	964	1450	828	680	286	1052	0	1570	58	388	1623	0	1600	51	0	851	0	1353	7	0	1398	1	42	519	1566	146	744	325	540	161	42	1038	107	20	845	31	189	66	126	502	20	161	0	519	84	65	43	6	978	1478	0	146	886	75	672	148	2185	1683	0	0	705	388	255	2182	3161	289	57	8	2713	127	35	753	211	2477	104	161	0	190	938	155	688	0	32	29	91	26	0	41	112	194	15	0	53	518	0	69	44	32	640	0	42	179	108	237	0	452	0	344	247	4	113	0	1770	26	974	766	0	144	2178	868	547	0	1782	1716	186	162	576	1807	165	107	3	0	409	475	414	41	43	74	0	180	2592	2072	137	0	443	1037	813	7	0	0	211	18	288	525	0	114	214	48	31	0	393	1020	72	200	0	199	85	174	51
8e069a1768e65fc66c625a81d098896d	0	0	821	1	0	663	0	678	0	1700	360	0	537	175	1830	249	0	1350	12	1730	87	0	874	535	879	684	0	240	177	727	189	0	591	789	437	474	283	92	1	0	0	572	0	992	50	28	65	15	65	0	267	174	3	549	0	177	17	1048	65	0	333	206	461	123	593	605	0	3367	146	0	398	86	926	139	0	210	0	780	0	1292	10	649	1357	402	765	52	150	202	0	332	52	924	117	0	234	18	269	58	557	43	0	10	0	526	523	410	209	0	9	0	8	0	0	279	22	487	101	2	1342	453	276	1345	23	272	50	209	622	0	33	1288	259	113	1794	94	509	240	775	743	7	662	118	9	980	0	353	12	0	417	12	1336	97	85	103	476	0	911	145	42	282	242	23	876	58	1156	23	417	492	45	95	71	147	1255	0	431	1374	21	586	0	630	0	67	75	0	911	42	5	1206	5	935	118	552	2545	3	415	1030	958	1199	9	359	281	2536	62	0	242	32	1441	1670	0	323	0	721	330	0	413	229	437	1734	0	51	30	73	830	8	21	248	30	720	365	573	144	217	381	513	1528	0	605	252	288	1221	2	72	214	28	312	0	0	682	532	1089	2426	0	394	998	1307	1492	0	708	0	0	284	13	397	21	28	2523
5434e5bbb561525bdbb806d49dcfe6fd	0	0	411	284	2260	321	0	640	0	867	232	0	278	0	350	510	0	607	0	1415	320	0	183	158	784	235	5	601	0	125	685	0	625	0	339	920	149	55	0	717	0	505	0	898	369	532	1	39	534	0	433	142	1217	410	0	540	0	1317	272	0	271	0	128	441	54	233	0	340	190	0	502	190	286	606	0	27	0	202	0	682	1256	171	809	295	511	0	1000	693	0	784	0	49	611	0	569	861	736	209	304	405	1114	142	0	298	34	981	568	0	587	88	471	961	0	530	509	153	377	3	183	0	197	139	276	409	0	494	289	274	248	465	0	146	0	288	259	35	0	147	0	702	28	8	123	8	0	138	17	270	0	1488	687	263	0	479	406	8	356	243	175	283	368	618	41	231	4	808	374	208	353	136	1719	423	0	120	0	0	211	0	416	2	1827	394	6	348	0	1369	444	0	484	0	695	307	37	294	51	297	398	30	354	7	947	620	0	324	50	516	206	0	702	17	282	381	0	341	3	660	249	0	450	0	828	307	235	0	1751	53	272	774	660	175	395	39	629	310	0	349	12	134	222	0	185	9	895	398	0	0	92	7	281	572	0	210	4	1062	510	0	616	0	183	1017	2	110	340	1482	420
f7693fa078df727c4e2568797b4e26a3	0	0	129	347	68	240	0	232	4	4	325	0	526	8	82	276	0	906	41	361	286	0	419	76	176	253	0	181	131	644	268	0	346	102	193	315	416	399	0	98	0	487	34	202	90	397	165	856	706	0	1282	206	120	166	0	725	336	163	154	0	295	301	154	124	0	132	122	70	353	0	791	145	421	181	0	0	0	1033	0	184	643	910	232	104	740	18	202	612	0	442	142	76	871	0	729	786	747	138	508	928	397	1290	0	460	202	402	231	0	457	0	0	95	0	662	0	0	221	1	38	265	475	265	33	559	604	761	102	479	110	151	811	386	4	41	170	643	258	77	2	797	116	359	117	2	744	129	3	307	814	319	32	74	862	584	0	631	480	101	350	1796	450	112	8	675	1531	818	233	135	114	1886	268	64	0	118	1248	50	14	0	1044	27	1542	135	0	481	1450	1322	26	0	628	900	310	51	26	707	1208	185	46	127	791	1634	64	16	0	881	2702	712	18	0	173	6	440	216	0	186	718	413	16	0	1978	1356	1044	134	184	1847	274	41	1453	1225	9	216	1392	749	505	98	0	1327	1314	278	42	4	1395	1559	1455	21	0	0	1163	255	1343	11	0	963	421	353	98	0	757	539	173	120	12	584	1064	1430	18
cd052ea117eaee088711fa892ce6b94a	0	0	1456	0	346	684	0	689	0	1389	294	0	435	7	416	632	0	84	9	627	308	0	709	11	657	135	0	923	0	65	1374	0	1	126	350	110	523	3	5	2000	0	453	27	504	537	1320	0	949	240	0	1253	0	792	485	0	187	81	139	500	0	4	1673	2383	169	20	1086	0	874	370	0	21	293	2985	909	0	0	0	1293	0	22	102	91	47	715	308	0	5395	711	0	791	0	12	570	0	340	0	1301	1289	16	6	198	1075	0	212	0	1580	236	0	343	0	1609	565	0	709	0	2699	679	4100	19	0	315	286	430	406	0	1788	176	5	374	73	0	254	943	106	240	2192	0	423	2	98	11	0	364	8	2	1785	0	38	5	79	403	134	0	199	0	1252	282	234	89	0	183	83	38	37	5	315	40	179	7	0	125	194	8	326	0	8	254	0	29	0	214	136	0	181	0	8	485	0	121	0	522	111	41	47	742	244	158	3	55	36	1216	255	0	43	0	198	125	0	109	0	323	465	0	17	8	79	686	0	28	2	9	576	175	17	170	53	1	1833	235	134	464	6	125	424	0	388	19	346	371	51	408	3	8	124	0	0	346	8	294	353	0	417	521	350	383	0	181	2	573	127	11	0	25	1559	437
0eb0daf4087d74b006f50a5a06899085	966	433	0	1007	16	0	6	0	981	126	0	105	0	1745	19	40	551	0	1876	66	0	294	0	96	3	0	3	0	2717	610	0	1325	0	904	17	0	0	2223	1692	4	8	0	2799	163	2	0	637	587	0	3240	0	830	13	0	14	0	3165	2	0	1126	0	1820	69	0	888	0	632	36	18	1611	0	1338	74	0	10	907	95	0	4685	28	3	0	183	0	0	2981	61	22	24	0	1513	49	33	334	0	723	25	0	0	616	139	5	19	0	736	13	0	589	0	269	290	13	305	0	741	70	0	3	0	897	266	0	17	0	929	52	0	22	0	0	438	236	0	3	0	1026	319	0	2	0	2916	1261	0	11	885	203	0	0	2976	274	1	962	127	0	1310	141	0	0	0	762	87	0	85	0	849	146	0	64	0	625	64	0	3	0	263	3023	0	69	0	3088	59	0	50	0	536	469	0	3563	0	3110	1097	0	1058	0	197	67	0	66	0	953	19	0	551	0	456	33	0	0	5	1336	82	2	0	0	276	8	0	0	0	1226	191	0	0	1323	67	0	0	24	0	1	0	287	68	0	864	0	697	8	0	30	0	843	95	0	0	0	0	1683	119	0	813	0	387	28	0	179	2	1645	136	0	474	0	85	150	0
