ID	sample	WUAxis1	WUAxis2	calf	batch	block	pen	LPS	Antibiotic	treatment	d	period
X1_d0	1_d0	-0.385978872	0.048178263	1	1	1	1	No	Y	Pre-CON	0	Preweaning
X10_d0	10_d0	-0.415830059	0.071554336	10	1	1	1	No	N	Pre-CON	0	Preweaning
X10_d112	10_d112	0.103788832	-0.022684039	10	1	1	1	P-LPS112	Y	CON	112	Post-weaning
X10_d28	10_d28	-0.030457944	-0.002302829	10	1	1	1	No	Y	CON	28	Preweaning
X10_d56	10_d56	0.034814262	0.045221076	10	1	1	1	Yes_56	P-A56	CON	56	Preweaning
X10_d84	10_d84	0.147007804	0.053773217	10	1	1	1	P-LPS84	P-A84	CON	84	Post-weaning
X11_d0	11_d0	-0.379970007	0.086003836	11	1	3	5	No	N	Pre-CON	0	Preweaning
X11_d112	11_d112	0.108170733	-0.057833522	11	1	3	5	No_112	N	CON	112	Post-weaning
X11_d28	11_d28	-0.236345582	0.023388361	11	1	3	5	No	N	CON	28	Preweaning
X11_d56	11_d56	0.115919689	0.092623298	11	1	3	5	N_56	N	CON	56	Preweaning
X11_d84	11_d84	0.083885709	-0.047280134	11	1	3	5	No_84	N	CON	84	Post-weaning
X12_d0	12_d0	-0.416631075	0.098149867	12	1	1	2	No	N	Pre-SCFP	0	Preweaning
X12_d112	12_d112	0.125686936	-0.009410939	12	1	1	2	No_112	N	SCFP	112	Post-weaning
X12_d28	12_d28	-0.057392371	0.011375021	12	1	1	2	No	N	SCFP	28	Preweaning
X12_d56	12_d56	0.153949937	0.129531713	12	1	1	2	N_56	N	SCFP	56	Preweaning
X12_d84	12_d84	0.085537395	-0.003048123	12	1	1	2	No_84	N	SCFP	84	Post-weaning
X13_d0	13_d0	-0.180710287	0.077474421	13	1	2	3	No	N	Pre-CON	0	Preweaning
X13_d112	13_d112	0.166735069	-0.064518365	13	1	2	3	P-LPS112	N	CON	112	Post-weaning
X13_d28	13_d28	0.020942988	0.040969643	13	1	2	3	No	N	CON	28	Preweaning
X13_d56	13_d56	0.124416114	0.062001449	13	1	2	3	Yes_56	N	CON	56	Preweaning
X13_d84	13_d84	0.158836618	0.057770683	13	1	2	3	P-LPS84	N	CON	84	Post-weaning
X14_d0	14_d0	-0.3493371	0.061942414	14	1	3	6	No	N	Pre-SCFP	0	Preweaning
X14_d112	14_d112	0.09445529	-0.051032927	14	1	3	6	P-LPS112	N	SCFP	112	Post-weaning
X14_d28	14_d28	0.131493576	0.119638568	14	1	3	6	No	N	SCFP	28	Preweaning
X14_d56	14_d56	0.147991039	0.080493349	14	1	3	6	Yes_56	N	SCFP	56	Preweaning
X14_d84	14_d84	0.140417693	0.023269338	14	1	3	6	P-LPS84	N	SCFP	84	Post-weaning
X15_d0	15_d0	-0.092707139	0.098502135	15	1	2	3	No	N	Pre-CON	0	Preweaning
X15_d112	15_d112	0.104707561	0.028030231	15	1	2	3	No_112	Y	CON	112	Post-weaning
X15_d28	15_d28	-0.113255026	-0.024058016	15	1	2	3	No	Y	CON	28	Preweaning
X15_d56	15_d56	0.060003013	-0.000156696	15	1	2	3	N_56	P-A56	CON	56	Preweaning
X15_d84	15_d84	0.172870145	0.0708737	15	1	2	3	No_84	P-A84	CON	84	Post-weaning
X16_d0	16_d0	-0.350021958	0.056564292	16	1	3	5	No	N	Pre-CON	0	Preweaning
X16_d112	16_d112	0.088509286	-0.02781254	16	1	3	5	P-LPS112	P-A112	CON	112	Post-weaning
X16_d28	16_d28	0.091185262	0.136335131	16	1	3	5	No	Y	CON	28	Preweaning
X16_d56	16_d56	0.108199276	0.079518428	16	1	3	5	Yes_56	P-A56	CON	56	Preweaning
X16_d84	16_d84	0.013740524	-0.092762263	16	1	3	5	P-LPS84	P-A84	CON	84	Post-weaning
X17_d112	17_d112	0.112188821	-0.023667038	17	1	3	5	No_112	Y	CON	112	Post-weaning
X17_d28	17_d28	-0.127870437	-0.061701826	17	1	3	5	No	N	CON	28	Preweaning
X17_d56	17_d56	-0.259861406	0.02585423	17	1	3	5	N_56	N	CON	56	Preweaning
X17_d84	17_d84	0.126293442	0.041006543	17	1	3	5	No_84	N	CON	84	Post-weaning
X18_d0	18_d0	-0.355230925	0.094645281	18	1	2	3	No	N	Pre-CON	0	Preweaning
X18_d112	18_d112	0.094272424	-0.075971994	18	1	2	3	No_112	P-A112	CON	112	Post-weaning
X18_d28	18_d28	-0.117488005	0.008912537	18	1	2	3	No	Y	CON	28	Preweaning
X18_d56	18_d56	0.144845115	0.040008721	18	1	2	3	N_56	P-A56	CON	56	Preweaning
X18_d84	18_d84	0.092577237	-0.010465989	18	1	2	3	No_84	P-A84	CON	84	Post-weaning
X19_d112	19_d112	0.112270056	-0.038397497	19	1	1	1	No_112	P-A112	CON	112	Post-weaning
X19_d28	19_d28	0.096349526	0.09369008	19	1	1	1	No	Y	CON	28	Preweaning
X19_d56	19_d56	0.033740339	-0.104583288	19	1	1	1	N_56	P-A56	CON	56	Preweaning
X19_d84	19_d84	0.057798362	-0.120946202	19	1	1	1	No_84	P-A84	CON	84	Post-weaning
X2_d0	2_d0	-0.389458748	0.041876253	2	1	2	4	No	N	Pre-SCFP	0	Preweaning
X2_d112	2_d112	0.071608405	-0.087470161	2	1	2	4	No_112	N	SCFP	112	Post-weaning
X2_d28	2_d28	-0.061693749	-0.005908751	2	1	2	4	No	N	SCFP	28	Preweaning
X2_d56	2_d56	0.067941185	0.062473915	2	1	2	4	N_56	N	SCFP	56	Preweaning
X2_d84	2_d84	0.112831001	-0.05259834	2	1	2	4	No_84	N	SCFP	84	Post-weaning
X20_d0	20_d0	-0.388428895	0.097379658	20	1	2	4	No	N	Pre-SCFP	0	Preweaning
X20_d112	20_d112	0.103510437	-0.023079019	20	1	2	4	P-LPS112	N	SCFP	112	Post-weaning
X20_d28	20_d28	-0.132970696	-0.07963602	20	1	2	4	No	N	SCFP	28	Preweaning
X20_d56	20_d56	0.094295223	0.032216563	20	1	2	4	Yes_56	N	SCFP	56	Preweaning
X20_d84	20_d84	0.073321261	0.003477956	20	1	2	4	P-LPS84	N	SCFP	84	Post-weaning
X21_d0	21_d0	-0.312994535	0.039002294	21	1	3	6	No	N	Pre-SCFP	0	Preweaning
X21_d112	21_d112	0.064494049	0.001551589	21	1	3	6	No_112	P-A112	SCFP	112	Post-weaning
X21_d28	21_d28	-0.022652822	-0.028397021	21	1	3	6	No	Y	SCFP	28	Preweaning
X21_d56	21_d56	0.107829076	0.053397908	21	1	3	6	N_56	P-A56	SCFP	56	Preweaning
X21_d84	21_d84	0.108430277	0.044285535	21	1	3	6	No_84	P-A84	SCFP	84	Post-weaning
X22_d28	22_d28	0.032743443	0.071772328	22	1	2	4	No	N	SCFP	28	Preweaning
X23_d112	23_d112	0.151483455	0.025746214	23	1	3	5	No_112	P-A112	CON	112	Post-weaning
X23_d28	23_d28	0.009169649	0.027775203	23	1	3	5	No	Y	CON	28	Preweaning
X23_d56	23_d56	0.146919785	0.138972743	23	1	3	5	N_56	P-A56	CON	56	Preweaning
X23_d84	23_d84	0.124719832	0.017774224	23	1	3	5	No_84	P-A84	CON	84	Post-weaning
X24_d0	24_d0	-0.308131833	0.0330679	24	1	2	4	No	N	Pre-SCFP	0	Preweaning
X24_d112	24_d112	0.116219985	-0.064996906	24	1	2	4	No_112	P-A112	SCFP	112	Post-weaning
X24_d28	24_d28	-0.16334448	-0.011681275	24	1	2	4	No	Y	SCFP	28	Preweaning
X24_d56	24_d56	0.102921371	-0.002353217	24	1	2	4	N_56	P-A56	SCFP	56	Preweaning
X24_d84	24_d84	0.106630536	0.024103554	24	1	2	4	No_84	P-A84	SCFP	84	Post-weaning
X25_d0	25_d0	-0.304414197	0.076750502	25	1	3	6	No	N	Pre-SCFP	0	Preweaning
X25_d28	25_d28	-0.106298208	-0.003135703	25	1	3	6	No	N	SCFP	28	Preweaning
X26_d0	26_d0	-0.284101138	0.066941784	26	1	1	2	No	N	Pre-SCFP	0	Preweaning
X26_d112	26_d112	0.156582643	-0.04841689	26	1	1	2	No_112	P-A112	SCFP	112	Post-weaning
X26_d28	26_d28	-0.197809807	0.010952999	26	1	1	2	No	Y	SCFP	28	Preweaning
X26_d56	26_d56	0.095433938	0.051568833	26	1	1	2	N_56	P-A56	SCFP	56	Preweaning
X26_d84	26_d84	0.081887929	-0.005017999	26	1	1	2	No_84	P-A84	SCFP	84	Post-weaning
X27_d112	27_d112	0.18138579	-0.02379708	27	1	1	2	No_112	P-A112	SCFP	112	Post-weaning
X27_d56	27_d56	0.099596542	-0.02443914	27	1	1	2	N_56	P-A56	SCFP	56	Preweaning
X27_d84	27_d84	0.117134391	0.063684299	27	1	1	2	No_84	P-A84	SCFP	84	Post-weaning
X28_d112	28_d112	0.139656947	-0.000864767	28	1	1	2	No_112	P-A112	SCFP	112	Post-weaning
X28_d28	28_d28	-0.214612649	0.004958015	28	1	1	2	No	Y	SCFP	28	Preweaning
X28_d56	28_d56	0.096222534	-0.004859997	28	1	1	2	N_56	P-A56	SCFP	56	Preweaning
X28_d84	28_d84	0.045685026	-0.093681382	28	1	1	2	No_84	P-A84	SCFP	84	Post-weaning
X29_d0	29_d0	-0.355687064	0.090589579	29	1	2	3	No	N	Pre-CON	0	Preweaning
X29_d112	29_d112	0.159625404	-0.010006789	29	1	2	3	No_112	P-A112	CON	112	Post-weaning
X29_d28	29_d28	0.028103304	0.057105653	29	1	2	3	No	Y	CON	28	Preweaning
X29_d56	29_d56	0.090654783	0.116003867	29	1	2	3	N_56	P-A56	CON	56	Preweaning
X29_d84	29_d84	0.068995595	-0.112124981	29	1	2	3	No_84	P-A84	CON	84	Post-weaning
X3_d0	3_d0	-0.383177934	0.074784784	3	1	2	4	No	N	Pre-SCFP	0	Preweaning
X3_d112	3_d112	0.087986388	-0.055116766	3	1	2	4	P-LPS112	P-A112	SCFP	112	Post-weaning
X3_d28	3_d28	0.024417882	-0.088264642	3	1	2	4	No	Y	SCFP	28	Preweaning
X3_d56	3_d56	0.109967871	-0.034135625	3	1	2	4	Yes_56	P-A56	SCFP	56	Preweaning
X3_d84	3_d84	0.124220657	-0.032751456	3	1	2	4	P-LPS84	P-A84	SCFP	84	Post-weaning
X30_d112	30_d112	0.164704081	0.018786967	30	1	1	2	No_112	P-A112	SCFP	112	Post-weaning
X30_d28	30_d28	0.064304899	-0.025721509	30	1	1	2	No	Y	SCFP	28	Preweaning
X30_d56	30_d56	0.066309109	0.032988139	30	1	1	2	N_56	P-A56	SCFP	56	Preweaning
X30_d84	30_d84	-0.007673195	-0.124721676	30	1	1	2	No_84	P-A84	SCFP	84	Post-weaning
X4_d0	4_d0	-0.375833876	0.082736482	4	1	1	1	No	N	Pre-CON	0	Preweaning
X4_d112	4_d112	0.104228212	-0.057990932	4	1	1	1	P-LPS112	N	CON	112	Post-weaning
X4_d28	4_d28	-0.009742123	-0.117459544	4	1	1	1	No	N	CON	28	Preweaning
X4_d56	4_d56	0.075983005	0.023501877	4	1	1	1	Yes_56	N	CON	56	Preweaning
X4_d84	4_d84	0.12736629	-0.049401063	4	1	1	1	P-LPS84	N	CON	84	Post-weaning
X5_d0	5_d0	-0.393750899	0.075782809	5	1	3	5	No	N	Pre-CON	0	Preweaning
X5_d112	5_d112	0.100106104	-0.059939157	5	1	3	5	No_112	P-A112	CON	112	Post-weaning
X5_d28	5_d28	-0.158418989	-0.120836336	5	1	3	5	No	Y	CON	28	Preweaning
X5_d56	5_d56	0.016057972	-0.016407305	5	1	3	5	N_56	P-A56	CON	56	Preweaning
X5_d84	5_d84	0.107932154	0.023430699	5	1	3	5	No_84	P-A84	CON	84	Post-weaning
X6_d0	6_d0	-0.21120442	0.04493252	6	1	2	3	No	N	Pre-CON	0	Preweaning
X6_d112	6_d112	0.068852247	-0.116981793	6	1	2	3	P-LPS112	N	CON	112	Post-weaning
X6_d28	6_d28	-0.084015435	-0.117368271	6	1	2	3	No	N	CON	28	Preweaning
X6_d56	6_d56	0.105048411	0.059026517	6	1	2	3	Yes_56	N	CON	56	Preweaning
X6_d84	6_d84	0.074162173	-0.064106006	6	1	2	3	P-LPS84	N	CON	84	Post-weaning
X61_d0	61_d0	-0.042412838	0.064684609	61	2	2	9	No	N	Pre-CON	0	Preweaning
X61_d112	61_d112	0.194333344	0.165678065	61	2	2	9	No_112	P-A112	CON	112	Post-weaning
X61_d28	61_d28	0.110362717	0.040933805	61	2	2	9	No	Y	CON	28	Preweaning
X61_d56	61_d56	0.080964337	-0.079638914	61	2	2	9	N_56	P-A56	CON	56	Preweaning
X61_d84	61_d84	0.155093253	0.075890391	61	2	2	9	No_84	P-A84	CON	84	Post-weaning
X62_d0	62_d0	0.037568828	0.008477121	62	2	3	12	No	N	Pre-SCFP	0	Preweaning
X62_d112	62_d112	0.145529089	0.036485831	62	2	3	12	P-LPS112	N	SCFP	112	Post-weaning
X62_d28	62_d28	0.007226131	-0.0660571	62	2	3	12	No	N	SCFP	28	Preweaning
X62_d56	62_d56	0.075684561	-0.117680397	62	2	3	12	Yes_56	N	SCFP	56	Preweaning
X62_d84	62_d84	0.160723317	0.120616023	62	2	3	12	P-LPS84	N	SCFP	84	Post-weaning
X63_d0	63_d0	-0.184020497	-0.119406723	63	2	1	7	No	N	Pre-CON	0	Preweaning
X64_d0	64_d0	0.00719651	0.007710209	64	2	1	7	No	N	Pre-CON	0	Preweaning
X64_d112	64_d112	0.170956427	0.06174415	64	2	1	7	P-LPS112	P-A112	CON	112	Post-weaning
X64_d28	64_d28	0.127081675	-0.086264417	64	2	1	7	No	Y	CON	28	Preweaning
X64_d56	64_d56	-0.012127578	0.031114452	64	2	1	7	Yes_56	P-A56	CON	56	Preweaning
X64_d84	64_d84	0.242082026	0.199111033	64	2	1	7	P-LPS84	Y	CON	84	Post-weaning
X65_d0	65_d0	-0.118029356	0.042520445	65	2	3	12	No	N	Pre-SCFP	0	Preweaning
X65_d112	65_d112	0.136654275	0.082490978	65	2	3	12	P-LPS112	P-A112	SCFP	112	Post-weaning
X65_d28	65_d28	0.031823751	-0.044309171	65	2	3	12	No	Y	SCFP	28	Preweaning
X65_d56	65_d56	0.16880239	0.091085961	65	2	3	12	Yes_56	Y	SCFP	56	Preweaning
X65_d84	65_d84	0.194856852	0.117100399	65	2	3	12	P-LPS84	P-A84	SCFP	84	Post-weaning
X66_d0	66_d0	-0.375884807	0.081470359	66	2	3	11	No	N	Pre-CON	0	Preweaning
X66_d112	66_d112	0.082763677	-0.104936106	66	2	3	11	No_112	P-A112	CON	112	Post-weaning
X66_d28	66_d28	-0.134880257	-0.009748052	66	2	3	11	No	N	CON	28	Preweaning
X66_d56	66_d56	-0.018610709	-0.054327517	66	2	3	11	N_56	Y	CON	56	Preweaning
X66_d84	66_d84	0.180220832	0.126446916	66	2	3	11	No_84	P-A84	CON	84	Post-weaning
X67_d0	67_d0	-0.355324853	0.085536876	67	2	1	7	No	N	Pre-CON	0	Preweaning
X67_d28	67_d28	-0.042066312	-0.106451596	67	2	1	7	No	Y	CON	28	Preweaning
X67_d56	67_d56	0.124107338	-0.042294917	67	2	1	7	Yes_56	P-A56	CON	56	Preweaning
X68_d0	68_d0	-0.09675381	0.091946573	68	2	1	7	No	N	Pre-CON	0	Preweaning
X68_d112	68_d112	0.149617139	0.062099893	68	2	1	7	No_112	P-A112	CON	112	Post-weaning
X68_d28	68_d28	-0.263917967	-0.150854989	68	2	1	7	No	Y	CON	28	Preweaning
X68_d56	68_d56	0.18270732	0.084151088	68	2	1	7	N_56	Y	CON	56	Preweaning
X68_d84	68_d84	0.115924073	0.008650304	68	2	1	7	No_84	Y	CON	84	Post-weaning
X69_d0	69_d0	-0.104310064	0.024961629	69	2	3	12	No	N	Pre-SCFP	0	Preweaning
X69_d28	69_d28	0.100656148	-0.091101421	69	2	3	12	No	N	SCFP	28	Preweaning
X7_d112	7_d112	0.063320172	-0.103925815	7	1	1	1	No_112	P-A112	CON	112	Post-weaning
X7_d28	7_d28	0.013946068	-0.010161044	7	1	1	1	No	Y	CON	28	Preweaning
X7_d56	7_d56	0.068127135	-0.092327796	7	1	1	1	N_56	P-A56	CON	56	Preweaning
X7_d84	7_d84	0.100630585	-0.008740745	7	1	1	1	No_84	P-A84	CON	84	Post-weaning
X70_d0	70_d0	-0.298297542	0.052280386	70	2	3	11	No	N	Pre-CON	0	Preweaning
X70_d112	70_d112	0.151327409	0.082497861	70	2	3	11	P-LPS112	P-A112	CON	112	Post-weaning
X70_d28	70_d28	-0.085921695	-0.207024006	70	2	3	11	No	Y	CON	28	Preweaning
X70_d56	70_d56	0.013256497	-0.189980458	70	2	3	11	Yes_56	P-A56	CON	56	Preweaning
X70_d84	70_d84	0.207196097	0.129828102	70	2	3	11	P-LPS84	P-A84	CON	84	Post-weaning
X71_d0	71_d0	-0.241887574	0.04097239	71	2	2	10	No	N	Pre-SCFP	0	Preweaning
X71_d112	71_d112	0.134914593	-0.001725016	71	2	2	10	P-LPS112	N	SCFP	112	Post-weaning
X71_d28	71_d28	-0.103374415	-0.209586893	71	2	2	10	No	N	SCFP	28	Preweaning
X71_d56	71_d56	0.120127804	-0.045406875	71	2	2	10	Yes_56	N	SCFP	56	Preweaning
X71_d84	71_d84	0.231646786	0.116673842	71	2	2	10	P-LPS84	N	SCFP	84	Post-weaning
X72_d0	72_d0	-0.197926021	-0.007949131	72	2	3	11	No	N	Pre-CON	0	Preweaning
