AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,FamilyVar1,IsSingleNode,name,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,PhylumVar1,Radiality,selected,SelfLoops,shared name,Stress,TopologicalCoefficient
1,0,1,1,2,1,"""Prevotellaceae""",FALSE,"""ASV107""",2,0,2,0,"""Bacteroidetes""",1,FALSE,0,"""ASV107""",0,1
1,0,1,0,1,1,"""Clostridiaceae""",FALSE,"""ASV125""",1,0,1,0,"""Firmicutes""",1,FALSE,0,"""ASV125""",0,0
1,0,1,1,2,1,"""Prevotellaceae""",FALSE,"""ASV128""",2,0,2,0,"""Bacteroidetes""",1,FALSE,0,"""ASV128""",0,1
1,0,1,1,2,1,"""Prevotellaceae""",FALSE,"""ASV138""",2,0,2,0,"""Bacteroidetes""",1,FALSE,0,"""ASV138""",0,1
1,0,1,0,1,1,"""Bacteroidaceae""",FALSE,"""ASV143""",1,0,1,0,"""Bacteroidetes""",1,FALSE,0,"""ASV143""",0,0
1,0,1,0,1,1,"""Bacteroidaceae""",FALSE,"""ASV163""",1,0,1,0,"""Bacteroidetes""",1,FALSE,0,"""ASV163""",0,0
1,0,1,0,1,1,"""Prevotellaceae""",FALSE,"""ASV173""",1,0,1,0,"""Bacteroidetes""",1,FALSE,0,"""ASV173""",0,0
1,0,1,0,1,1,"""Bacteroidaceae""",FALSE,"""ASV210""",1,0,1,0,"""Bacteroidetes""",1,FALSE,0,"""ASV210""",0,0
1,0,1,0,1,1,"""Bacteroidaceae""",FALSE,"""ASV255""",1,0,1,0,"""Bacteroidetes""",1,FALSE,0,"""ASV255""",0,0
1,0,1,0,1,1,"""Prevotellaceae""",FALSE,"""ASV273""",1,0,1,0,"""Bacteroidetes""",1,FALSE,0,"""ASV273""",0,0
1,0,1,0,1,1,"""Bacteroidaceae""",FALSE,"""ASV35""",1,0,1,0,"""Bacteroidetes""",1,FALSE,0,"""ASV35""",0,0
1,0,1,0,1,1,"""Coriobacteriaceae""",FALSE,"""ASV425""",1,0,1,0,"""Actinobacteria""",1,FALSE,0,"""ASV425""",0,0
1,0,1,0,1,1,"""Turicibacteraceae""",FALSE,"""ASV439""",1,0,1,0,"""Firmicutes""",1,FALSE,0,"""ASV439""",0,0
1,0,1,0,1,1,"""Prevotellaceae""",FALSE,"""ASV50""",1,0,1,0,"""Bacteroidetes""",1,FALSE,0,"""ASV50""",0,0
1,0,1,0,1,1,"""Veillonellaceae""",FALSE,"""ASV52""",1,0,1,0,"""Firmicutes""",1,FALSE,0,"""ASV52""",0,0
1,0,1,0,1,1,"""Prevotellaceae""",FALSE,"""ASV85""",1,0,1,0,"""Bacteroidetes""",1,FALSE,0,"""ASV85""",0,0
1,0,1,0,1,1,"""Prevotellaceae""",FALSE,"""ASV88""",1,0,1,0,"""Bacteroidetes""",1,FALSE,0,"""ASV88""",0,0
1,0,1,0,1,1,"""Bacteroidaceae""",FALSE,"""ASV99""",1,0,1,0,"""Bacteroidetes""",1,FALSE,0,"""ASV99""",0,0
1,0,1,0,1,1,"""Coriobacteriaceae""",FALSE,"""ASV998""",1,0,1,0,"""Actinobacteria""",1,FALSE,0,"""ASV998""",0,0
