"","Var2","Var1","pval","qval","rho","n","treatment","Var1ASV","PhylumVar1","FamilyVar1","Var2ASV","PhylumVar2","FamilyVar2"
"1","ASV1","ASV42",0,0,-0.721672809629181,35,"SCFP","a4adc2874da0a0f68b5b3f1c2737e835","Firmicutes","Ruminococcaceae","2e58ed208e328a041a05626fd1502922","Bacteroidetes","Prevotellaceae"
"7","ASV1","ASV702",0,0,0.740488275870007,44,"SCFP","c4ef84c484580d6bcf7ec4bc056a3fad","Firmicutes","Ruminococcaceae","2e58ed208e328a041a05626fd1502922","Bacteroidetes","Prevotellaceae"
"8","ASV1","ASV10",0,0,-0.759093086728256,42,"SCFP","0eb0daf4087d74b006f50a5a06899085","Actinobacteria","Coriobacteriaceae","2e58ed208e328a041a05626fd1502922","Bacteroidetes","Prevotellaceae"
"12","ASV1","ASV100",0,0,-0.717810970729404,39,"SCFP","921d37d118d20869acb71faf26ee8b7b","Firmicutes","Ruminococcaceae","2e58ed208e328a041a05626fd1502922","Bacteroidetes","Prevotellaceae"
"17","ASV1","ASV21",0,0,0.784179024797761,56,"SCFP","aae27ae0922499a5308913b0474d7669","Bacteroidetes","Prevotellaceae","2e58ed208e328a041a05626fd1502922","Bacteroidetes","Prevotellaceae"
"21","ASV1","ASV30",0,0,0.702392169151288,63,"SCFP","3c35f189d17f4235d5a85a91c2a6006c","Bacteroidetes","Paraprevotellaceae","2e58ed208e328a041a05626fd1502922","Bacteroidetes","Prevotellaceae"
"30","ASV1","ASV13",0,0,0.755802096650865,53,"SCFP","c0a4573d567ff3145a43d284b8c43627","Firmicutes","Ruminococcaceae","2e58ed208e328a041a05626fd1502922","Bacteroidetes","Prevotellaceae"
"34","ASV1","ASV61",0,0,0.701557239763926,49,"SCFP","3be669c79b71499434e9ff16f6d304ab","Bacteroidetes","Bacteroidaceae","2e58ed208e328a041a05626fd1502922","Bacteroidetes","Prevotellaceae"
"36","ASV1","ASV171",0,0,0.714036406045465,47,"SCFP","6100fd89601b8c5988350fd5856a5ac2","Firmicutes"," o__Clostridiales","2e58ed208e328a041a05626fd1502922","Bacteroidetes","Prevotellaceae"
"37","ASV1","ASV73",0,0,0.780369418438185,51,"SCFP","7aab75ed5457c43539616871b031a845","Bacteroidetes","S24-7","2e58ed208e328a041a05626fd1502922","Bacteroidetes","Prevotellaceae"
"41","ASV10","ASV1",0,0,-0.759093086728256,42,"SCFP","2e58ed208e328a041a05626fd1502922","Bacteroidetes","Prevotellaceae","0eb0daf4087d74b006f50a5a06899085","Actinobacteria","Coriobacteriaceae"
"42","ASV10","ASV349",0,0,0.772745106548385,50,"SCFP","90794626d4647503068193fb13530e09","Firmicutes","Ruminococcaceae","0eb0daf4087d74b006f50a5a06899085","Actinobacteria","Coriobacteriaceae"
"43","ASV10","ASV20",0,0,0.914146598202885,57,"SCFP","badbfd2b58467ef60bc1d748035097b8","Firmicutes","Ruminococcaceae","0eb0daf4087d74b006f50a5a06899085","Actinobacteria","Coriobacteriaceae"
"44","ASV10","ASV215",0,0,0.709766687359589,32,"SCFP","3bf12e5725ee438324f7b4465fad9703","Firmicutes","Ruminococcaceae","0eb0daf4087d74b006f50a5a06899085","Actinobacteria","Coriobacteriaceae"
"45","ASV10","ASV296",0,0,0.755959343476147,37,"SCFP","a6b307b57a18ca60326fe3df9fd57698","Firmicutes"," o__Clostridiales","0eb0daf4087d74b006f50a5a06899085","Actinobacteria","Coriobacteriaceae"
"46","ASV10","ASV167",0,0,0.83514116623082,46,"SCFP","4b0fe6b1ec7caf6b644dd5ff08a03fbb","Firmicutes","Lachnospiraceae","0eb0daf4087d74b006f50a5a06899085","Actinobacteria","Coriobacteriaceae"
"50","ASV10","ASV23",0,0,0.711141936376678,62,"SCFP","29a02d7706085b2043d6ef307ed0fe6a","Firmicutes","Lachnospiraceae","0eb0daf4087d74b006f50a5a06899085","Actinobacteria","Coriobacteriaceae"
"51","ASV10","ASV106",0,0,0.827071808980302,52,"SCFP","ab974875ade7d272f72fc67f5098e33f","Firmicutes","Lachnospiraceae","0eb0daf4087d74b006f50a5a06899085","Actinobacteria","Coriobacteriaceae"
"56","ASV10","ASV42",0,0,0.89166433603042,53,"SCFP","a4adc2874da0a0f68b5b3f1c2737e835","Firmicutes","Ruminococcaceae","0eb0daf4087d74b006f50a5a06899085","Actinobacteria","Coriobacteriaceae"
"57","ASV10","ASV79",0,0,0.767813602132464,55,"SCFP","61dc3200b9d0a4f3f137756143c29d38","Firmicutes","Lachnospiraceae","0eb0daf4087d74b006f50a5a06899085","Actinobacteria","Coriobacteriaceae"
