Row.names	Phylum	Class	Order	Family	Genus	Species	Confidence	ASVnos
2e58ed208e328a041a05626fd1502922	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	 g__Prevotella	0.9999999	ASV1
0eb0daf4087d74b006f50a5a06899085	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	 s__aerofaciens	0.9812635	ASV10
921d37d118d20869acb71faf26ee8b7b	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	 g__Oscillospira	0.9995531	ASV100
0fb108d28d204137f6ee44762ba62570	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	 f__Lachnospiraceae	 f__Lachnospiraceae	0.9939608	ASV1000
0db90bfb9e5d1fc5bed60ea5364613d7	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	 g__Coprococcus	0.9831602	ASV1001
45d73c455d4c1d3beb293cebde1f1259	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	 f__Lachnospiraceae	 f__Lachnospiraceae	0.9948766	ASV1002
50176191bb58ec802aec8e53ba80476a	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	 g__Coprococcus	0.9613223	ASV1003
dc1e9467b85ed767b85287cc63979e2b	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	 f__Lachnospiraceae	 f__Lachnospiraceae	0.9320673	ASV1004
8c6b6df2535f367f02588dec46d7b748	Cyanobacteria	4C0d-2	YS2	 o__YS2	 o__YS2	 o__YS2	1	ASV1005
d3067169b2dec9f7347e2ab82843b6d1	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	 g__Ruminococcus	0.9998328	ASV1006
b78c5a8c4d6f50f181867d02857e0e99	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	 g__Anaerostipes	0.8837769	ASV1007
c71bb946ec4e24de86a1adfc97f6268f	Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.9999433	ASV1008
a7c931242c62120503086f8a16d245c5	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	 g__Ruminococcus	0.9999484	ASV1009
161a7d2fd8967ce309e80c8ba2b50465	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	 g__Blautia	0.9012877	ASV101
0c32e6380e906ec425b722d36b260107	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	 g__Blautia	0.9938906	ASV1010
a28d7021b81aee04dc3b5780d6b5f9a5	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	 g__Ruminococcus	0.9229405	ASV1011
149d4a2cc848430e1967ba5f4d627686	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	 f__Lachnospiraceae	 f__Lachnospiraceae	0.7688907	ASV1012
80e911138a34bf2ff6e31199eafce741	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Sutterella	 g__Sutterella	0.9999747	ASV1013
905ea8f08f961c28786f6d26d75635f0	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	 g__Dorea	0.9465229	ASV1014
de82342cb111c2c6e07b10cb67c11814	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	 f__Lachnospiraceae	 f__Lachnospiraceae	0.9528799	ASV1015
15df100bc175d883c7f852f9ed61e991	Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.9992788	ASV1016
4cf2ca06d59354de01a3bc90dc926bd9		 p__	 p__	 p__	 p__	 p__	0.8287976	ASV1017
