ASVs	treatment	node	degree
ASV163	SCFP	1	1
ASV279	SCFP	1	4
ASV35	SCFP	1	3
ASV360	SCFP	1	3
ASV371	SCFP	1	5
ASV1	CON	1	1
ASV1084	CON	1	1
ASV152	CON	1	4
ASV1	SCFP	2	7
ASV1029	SCFP	2	1
ASV105	SCFP	2	7
ASV1056	SCFP	2	1
ASV126	SCFP	2	1
ASV129	SCFP	2	1
ASV146	SCFP	2	2
ASV150	SCFP	2	5
ASV162	SCFP	2	3
ASV204	SCFP	2	4
ASV21	SCFP	2	15
ASV241	SCFP	2	6
ASV263	SCFP	2	1
ASV278	SCFP	2	1
ASV327	SCFP	2	12
ASV33	SCFP	2	11
ASV387	SCFP	2	3
ASV413	SCFP	2	4
ASV477	SCFP	2	3
ASV52	SCFP	2	1
ASV567	SCFP	2	11
ASV588	SCFP	2	1
ASV606	SCFP	2	1
ASV62	SCFP	2	14
ASV63	SCFP	2	15
ASV652	SCFP	2	8
ASV688	SCFP	2	8
ASV69	SCFP	2	5
ASV698	SCFP	2	8
ASV703	SCFP	2	1
ASV720	SCFP	2	3
ASV752	SCFP	2	1
ASV772	SCFP	2	6
ASV783	SCFP	2	1
ASV85	SCFP	2	1
ASV939	SCFP	2	5
ASV97	SCFP	2	1
ASV97	SCFP	2	12
ASV122	CON	2	1
ASV145	CON	2	6
ASV181	CON	2	1
ASV197	CON	2	2
ASV206	CON	2	1
ASV319	CON	2	2
ASV361	CON	2	1
ASV366	CON	2	2
ASV435	CON	2	1
ASV462	CON	2	2
ASV464	CON	2	1
ASV482	CON	2	2
ASV488	CON	2	1
ASV493	CON	2	4
ASV514	CON	2	10
ASV548	CON	2	1
ASV58	CON	2	1
ASV624	CON	2	1
ASV643	CON	2	2
ASV66	CON	2	1
ASV748	CON	2	7
ASV89	CON	2	32
ASV912	CON	2	1
ASV107	SCFP	3	2
ASV125	SCFP	3	3
ASV128	SCFP	3	2
ASV138	SCFP	3	2
ASV439	SCFP	3	2
ASV548	SCFP	3	2
ASV550	SCFP	3	1
ASV105	CON	3	3
ASV21	CON	3	2
ASV33	CON	3	4
ASV62	CON	3	4
ASV97	CON	3	3
ASV152	SCFP	4	1
ASV161	SCFP	4	1
ASV264	SCFP	4	1
ASV273	SCFP	4	1
ASV399	SCFP	4	1
ASV441	SCFP	4	1
ASV8	SCFP	4	1
ASV107	CON	4	2
ASV125	CON	4	1
ASV128	CON	4	2
ASV138	CON	4	2
ASV163	CON	4	1
ASV273	CON	4	1
ASV35	CON	4	1
ASV439	CON	4	1
ASV52	CON	4	1
ASV85	CON	4	1
ASV99	CON	4	1
ASV998	CON	4	1
