ID	Wudist	distance	treatment
10	0.456684211	0d-28d	CON
11	0.312013897	0d-28d	CON
13	0.304082524	0d-28d	CON
15	0.323551154	0d-28d	CON
16	0.502142019	0d-28d	CON
18	0.406910249	0d-28d	CON
29	0.48456751	0d-28d	CON
4	0.485753389	0d-28d	CON
5	0.363860382	0d-28d	CON
6	0.293444941	0d-28d	CON
61	0.32847109	0d-28d	CON
64	0.267860173	0d-28d	CON
66	0.401309733	0d-28d	CON
67	0.440453384	0d-28d	CON
68	0.432042202	0d-28d	CON
70	0.4090079	0d-28d	CON
72	0.299020397	0d-28d	CON
79	0.436376029	0d-28d	CON
80	0.594629508	0d-28d	CON
86	0.430391744	0d-28d	CON
88	0.444147119	0d-28d	CON
89	0.437236844	0d-28d	CON
90	0.376090932	0d-28d	CON
12	0.464459017	0d-28d	SCFP
14	0.567396213	0d-28d	SCFP
2	0.39032566	0d-28d	SCFP
20	0.454673075	0d-28d	SCFP
21	0.409741023	0d-28d	SCFP
24	0.244683072	0d-28d	SCFP
26	0.281383432	0d-28d	SCFP
3	0.490029196	0d-28d	SCFP
62	0.194885449	0d-28d	SCFP
65	0.328523685	0d-28d	SCFP
69	0.344140265	0d-28d	SCFP
71	0.357804191	0d-28d	SCFP
73	0.459535225	0d-28d	SCFP
74	0.293066552	0d-28d	SCFP
75	0.398561903	0d-28d	SCFP
76	0.274307935	0d-28d	SCFP
77	0.364175761	0d-28d	SCFP
78	0.455729795	0d-28d	SCFP
8	0.398948445	0d-28d	SCFP
81	0.370307778	0d-28d	SCFP
82	0.265938152	0d-28d	SCFP
84	0.27894935	0d-28d	SCFP
85	0.537269517	0d-28d	SCFP
9	0.47587179	0d-28d	SCFP
10	0.52849165	0d-56d	CON
11	0.560708906	0d-56d	CON
13	0.381421818	0d-56d	CON
15	0.295490029	0d-56d	CON
16	0.503665081	0d-56d	CON
18	0.550253817	0d-56d	CON
29	0.524579174	0d-56d	CON
4	0.520950164	0d-56d	CON
5	0.457426863	0d-56d	CON
6	0.377341572	0d-56d	CON
61	0.2850233	0d-56d	CON
64	0.254194243	0d-56d	CON
66	0.464308371	0d-56d	CON
67	0.547692056	0d-56d	CON
68	0.376348946	0d-56d	CON
70	0.458770121	0d-56d	CON
72	0.352150464	0d-56d	CON
79	0.306566646	0d-56d	CON
80	0.579828577	0d-56d	CON
86	0.419261246	0d-56d	CON
88	0.493403436	0d-56d	CON
89	0.537854008	0d-56d	CON
90	0.337047026	0d-56d	CON
12	0.612445207	0d-56d	SCFP
14	0.553749408	0d-56d	SCFP
2	0.506861252	0d-56d	SCFP
20	0.552898974	0d-56d	SCFP
21	0.516473273	0d-56d	SCFP
24	0.472646707	0d-56d	SCFP
26	0.43278529	0d-56d	SCFP
3	0.534563369	0d-56d	SCFP
62	0.209926972	0d-56d	SCFP
65	0.425331523	0d-56d	SCFP
71	0.420139605	0d-56d	SCFP
73	0.296100822	0d-56d	SCFP
74	0.419240688	0d-56d	SCFP
75	0.341786021	0d-56d	SCFP
76	0.342365957	0d-56d	SCFP
77	0.341380473	0d-56d	SCFP
78	0.579451724	0d-56d	SCFP
8	0.568729447	0d-56d	SCFP
81	0.296450912	0d-56d	SCFP
82	0.270011539	0d-56d	SCFP
83	0.441751415	0d-56d	SCFP
84	0.271465314	0d-56d	SCFP
85	0.592458924	0d-56d	SCFP
9	0.530799271	0d-56d	SCFP
10	0.592667745	0d-84d	CON
11	0.526536781	0d-84d	CON
13	0.405294504	0d-84d	CON
15	0.36987075	0d-84d	CON
16	0.427450113	0d-84d	CON
18	0.501287887	0d-84d	CON
29	0.528062591	0d-84d	CON
