	10_d28	11_d28	12_d28	13_d28	14_d28	15_d28	16_d28	17_d28	18_d28	19_d28	2_d28	20_d28	21_d28	22_d28	23_d28	24_d28	25_d28	26_d28	28_d28	29_d28	3_d28	30_d28	4_d28	5_d28	6_d28	61_d28	62_d28	64_d28	65_d28	66_d28	67_d28	68_d28	69_d28	7_d28	70_d28	71_d28	72_d28	73_d28	74_d28	75_d28	76_d28	77_d28	78_d28	79_d28	8_d28	80_d28	81_d28	82_d28	84_d28	85_d28	86_d28	88_d28	89_d28	9_d28	90_d28
X10_d28	0	0.261808037	0.15287147	0.147482787	0.27909023	0.195426275	0.246813952	0.186367466	0.22527442	0.211766861	0.120387938	0.237245748	0.114427578	0.185081986	0.138098907	0.192320151	0.158473483	0.281564844	0.259975416	0.155481852	0.152775931	0.183746868	0.165205832	0.257244122	0.188292138	0.236943068	0.144301791	0.262518171	0.175644309	0.238283177	0.180299511	0.343844708	0.289095228	0.122114764	0.286514857	0.283603278	0.28704433	0.259730924	0.247157979	0.220165665	0.265830266	0.197367137	0.242214674	0.327908749	0.222971174	0.281376643	0.292679971	0.297964252	0.2188373	0.230508176	0.224998488	0.163567158	0.174589458	0.160013622	0.20799235
X11_d28	0.261808037	0	0.261900786	0.310936684	0.457755743	0.265592854	0.397447542	0.208659977	0.261615802	0.386957383	0.232312333	0.258445682	0.28190823	0.359023715	0.310222362	0.153253852	0.207219834	0.228601158	0.207651929	0.315056957	0.333501493	0.367872498	0.322766949	0.287290026	0.263822947	0.410075005	0.320431627	0.427392108	0.358050763	0.256061471	0.298661771	0.24918381	0.473737605	0.310233776	0.324061993	0.318041607	0.332183585	0.386918147	0.191371434	0.339933737	0.276391272	0.388680947	0.323960746	0.363558961	0.170211974	0.448772097	0.298674525	0.317647957	0.391116624	0.395088702	0.282919029	0.31860025	0.351904	0.288902674	0.404143505
X12_d28	0.15287147	0.261900786	0	0.133614748	0.293215665	0.184569983	0.254652417	0.186831158	0.143046092	0.236397746	0.129827497	0.225960628	0.122942604	0.229237074	0.158713136	0.197525025	0.155465272	0.225103638	0.25766119	0.172913277	0.157648726	0.237657786	0.224236657	0.288600583	0.205962454	0.28342735	0.187151783	0.295877569	0.235530965	0.205371421	0.213796964	0.339379722	0.353585997	0.127641349	0.312352546	0.287010431	0.308966565	0.30305271	0.247462861	0.260080745	0.259884568	0.263772704	0.258152149	0.348936919	0.153569779	0.353179178	0.313485195	0.29510665	0.249007779	0.287879762	0.239973213	0.177650041	0.228286407	0.181806242	0.275317507
X13_d28	0.147482787	0.310936684	0.133614748	0	0.228704942	0.213058033	0.203894267	0.237806099	0.212985558	0.15664827	0.1731097	0.264935332	0.144694373	0.164737666	0.121304866	0.246894917	0.206366292	0.272991042	0.271117602	0.11163071	0.172269243	0.165098529	0.209584356	0.331564977	0.246900839	0.202069121	0.156441299	0.245666288	0.191449243	0.254498036	0.228170495	0.384711899	0.288926211	0.153418332	0.335200877	0.311890931	0.345174756	0.305903777	0.279048742	0.277553542	0.280797378	0.196695895	0.268608479	0.383142092	0.237356703	0.278427046	0.324708321	0.331914247	0.193128927	0.26561765	0.256576706	0.147222794	0.168281569	0.197546843	0.222760176
X14_d28	0.27909023	0.457755743	0.293215665	0.228704942	0	0.385221552	0.156805005	0.387531175	0.37890219	0.134629478	0.299893805	0.4354249	0.299817455	0.210548458	0.228690029	0.392775903	0.355749831	0.447248668	0.44453612	0.208842593	0.304505397	0.230613189	0.322602039	0.433316782	0.384100522	0.268915001	0.310342957	0.309661052	0.285479264	0.425374362	0.349126511	0.542860485	0.265577014	0.292107398	0.435478296	0.4399155	0.458772049	0.413180331	0.436086661	0.362729269	0.451989391	0.287402136	0.40002792	0.498149465	0.397407489	0.364507954	0.449821374	0.480804604	0.274902744	0.371641983	0.380767035	0.281042955	0.208302423	0.304703005	0.307215026
X15_d28	0.195426275	0.265592854	0.184569983	0.213058033	0.385221552	0	0.341732959	0.154691952	0.128208215	0.307128447	0.175769588	0.141745747	0.16306457	0.242791904	0.247966566	0.167298877	0.127748368	0.195000219	0.151457667	0.226720825	0.234723364	0.265347009	0.232078987	0.251707925	0.184268361	0.289420942	0.217024735	0.320258219	0.245536833	0.120271585	0.190326322	0.272422348	0.346641935	0.20001549	0.286088257	0.303644525	0.295689011	0.256432284	0.186388401	0.270738617	0.182748519	0.278827971	0.240187944	0.304136686	0.187358631	0.327116922	0.256353634	0.226168662	0.276856095	0.287457277	0.225447495	0.217888264	0.280281329	0.210501706	0.284070854
X16_d28	0.246813952	0.397447542	0.254652417	0.203894267	0.156805005	0.341732959	0	0.342581572	0.336079224	0.114397797	0.268764663	0.40236884	0.267580436	0.160281294	0.208098338	0.337727076	0.315790678	0.406835645	0.403103704	0.175730179	0.273709583	0.201320189	0.288289413	0.392330309	0.343926369	0.188711234	0.266911004	0.271106111	0.259439958	0.374982159	0.308278878	0.494613218	0.269703041	0.255501184	0.418126641	0.416759805	0.435407458	0.393640179	0.399470253	0.336196315	0.405797315	0.273960444	0.368496537	0.476729449	0.348028843	0.294902849	0.412856363	0.444122132	0.220663136	0.355695759	0.342965499	0.253230638	0.20699279	0.291098814	0.288358001
X17_d28	0.186367466	0.208659977	0.186831158	0.237806099	0.387531175	0.154691952	0.342581572	0	0.184017885	0.32789168	0.161884628	0.135469921	0.148837774	0.280534823	0.231646456	0.112514791	0.153776719	0.207563306	0.204792218	0.253963387	0.230560673	0.265713731	0.223248176	0.218819047	0.165338232	0.301892623	0.222570392	0.325049679	0.240307169	0.186286986	0.187598643	0.209070722	0.364250841	0.213893123	0.237726535	0.241779377	0.236230363	0.270652059	0.158489027	0.238199058	0.170432212	0.278198659	0.199307663	0.278723988	0.168088791	0.348731378	0.221155395	0.219777635	0.289085667	0.283142535	0.181620812	0.21621964	0.244497124	0.156954761	0.281765354
X18_d28	0.22527442	0.261615802	0.143046092	0.212985558	0.37890219	0.128208215	0.336079224	0.184017885	0	0.309122122	0.185678405	0.1713043	0.186605237	0.289740723	0.240035791	0.181780912	0.159070097	0.175007733	0.195520589	0.222426925	0.245006263	0.289148935	0.28625575	0.26328861	0.240187065	0.337989756	0.266212454	0.364541038	0.293517985	0.130593054	0.25597693	0.298120996	0.397912623	0.195273043	0.336717652	0.341084455	0.32480163	0.331800177	0.220269824	0.312359279	0.223262423	0.30339263	0.29315897	0.34247386	0.152758793	0.402336026	0.311227931	0.284293336	0.309165465	0.330961342	0.282250521	0.255593348	0.300015029	0.235124495	0.310167755
X19_d28	0.211766861	0.386957383	0.236397746	0.15664827	0.134629478	0.307128447	0.114397797	0.32789168	0.309122122	0	0.234808757	0.373369086	0.239898245	0.158093143	0.172894431	0.327632305	0.278933679	0.378524288	0.375000192	0.136133414	0.231328385	0.150169165	0.258963909	0.368591639	0.316991173	0.210197998	0.217640487	0.260500025	0.231100629	0.357074688	0.284315935	0.477741184	0.223382007	0.227051165	0.3895848	0.38767754	0.408059842	0.359575509	0.376890582	0.308596	0.376890621	0.225181664	0.334511861	0.445218243	0.340702443	0.30576443	0.382345002	0.418073885	0.203603577	0.316730453	0.315295694	0.228513877	0.175628572	0.266376697	0.241687744
X2_d28	0.120387938	0.232312333	0.129827497	0.1731097	0.299893805	0.175769588	0.268764663	0.161884628	0.185678405	0.234808757	0	0.225361516	0.117292561	0.196116039	0.15199187	0.153875784	0.137356551	0.241978067	0.25611691	0.18341418	0.174071112	0.221348267	0.170172326	0.246630073	0.17051269	0.268956074	0.176465726	0.28343588	0.201140497	0.220055138	0.171465809	0.314430018	0.315848583	0.156243803	0.260441154	0.258687499	0.25144934	0.269745083	0.228515047	0.201541274	0.256508848	0.220767622	0.210878509	0.298772477	0.172591561	0.312690857	0.259318605	0.284403436	0.237418793	0.244083457	0.202534365	0.164795138	0.178517415	0.148405445	0.237956974
