	10_d56	11_d56	12_d56	13_d56	14_d56	15_d56	16_d56	17_d56	18_d56	19_d56	2_d56	20_d56	21_d56	23_d56	24_d56	26_d56	27_d56	28_d56	29_d56	3_d56	30_d56	4_d56	5_d56	6_d56	61_d56	62_d56	64_d56	65_d56	66_d56	67_d56	68_d56	7_d56	70_d56	71_d56	72_d56	73_d56	74_d56	75_d56	76_d56	77_d56	78_d56	79_d56	8_d56	80_d56	81_d56	82_d56	83_d56	84_d56	85_d56	86_d56	88_d56	89_d56	9_d56	90_d56
X10_d56	0	0.245265774	0.271946306	0.25615184	0.257364858	0.247953363	0.241296797	0.389989078	0.276879345	0.291672347	0.181895608	0.190728014	0.194809095	0.275658971	0.226635724	0.24259631	0.22489871	0.227588633	0.300099112	0.238325718	0.235799122	0.22296395	0.222663397	0.236077311	0.222341217	0.242310125	0.328885491	0.3521277	0.300843525	0.277722683	0.277841084	0.257124437	0.278115704	0.232906698	0.186695212	0.449883054	0.250097951	0.332174987	0.222577326	0.267613682	0.28782407	0.264773482	0.257660955	0.240031379	0.235111443	0.225633208	0.24226237	0.226081669	0.261616321	0.484417523	0.288536343	0.265919973	0.199821911	0.268651408
X11_d56	0.245265774	0	0.131550332	0.175243106	0.139212092	0.189514077	0.147091651	0.440405175	0.163677069	0.25588913	0.167285621	0.154440799	0.158859815	0.16327662	0.162783954	0.157394614	0.181805069	0.158344541	0.213475287	0.164931971	0.165973334	0.160793636	0.200450483	0.102171559	0.251093853	0.265950671	0.304139692	0.201206871	0.284978588	0.185684818	0.142292585	0.226064109	0.363456325	0.195384385	0.198543115	0.478905034	0.280236496	0.359862895	0.222787529	0.181477561	0.137196618	0.258601735	0.15262933	0.294146416	0.244639072	0.215110462	0.231421688	0.212627646	0.274181544	0.529940624	0.309552533	0.124112325	0.155366552	0.321561767
X12_d56	0.271946306	0.131550332	0	0.186896938	0.153674296	0.220302743	0.172375933	0.486522002	0.213235704	0.305840916	0.187842427	0.202562914	0.186170538	0.152872822	0.196066946	0.181846244	0.243190148	0.211456609	0.208557557	0.209927748	0.229157289	0.211292922	0.257427276	0.150004246	0.298888474	0.311765565	0.342938503	0.172169944	0.346568778	0.234817369	0.15842265	0.264014085	0.395751026	0.233647365	0.220340539	0.526431962	0.335267665	0.418484102	0.285408548	0.214139127	0.100861369	0.279802444	0.20583363	0.331311207	0.28378145	0.24535625	0.280182854	0.249725025	0.306539354	0.580254468	0.368058405	0.179811424	0.20470531	0.374458377
X13_d56	0.25615184	0.175243106	0.186896938	0	0.143465268	0.151579382	0.132931631	0.441140092	0.128794123	0.249959785	0.14983081	0.142124256	0.1502341	0.15437758	0.132503754	0.099789787	0.165227525	0.170528957	0.16263602	0.153579487	0.145550374	0.134103442	0.191520885	0.131255381	0.227433799	0.237232876	0.263990863	0.196234803	0.265919485	0.190222406	0.183389042	0.208983179	0.325407418	0.170980858	0.15430607	0.483607604	0.272880392	0.344196752	0.217607259	0.148211285	0.159790874	0.184115476	0.147946257	0.2562835	0.189869596	0.167838408	0.206131019	0.163489795	0.250571253	0.498027074	0.290475855	0.165420411	0.166683948	0.306177198
X14_d56	0.257364858	0.139212092	0.153674296	0.143465268	0	0.187776082	0.135588834	0.477824374	0.155940357	0.270280106	0.15701062	0.146849557	0.12968929	0.167410825	0.151241459	0.143973949	0.199345147	0.156346885	0.199890302	0.164875954	0.169114024	0.170940814	0.208622897	0.117523341	0.243143707	0.257061427	0.294199504	0.188280396	0.267893101	0.163786156	0.137713265	0.231009786	0.342021781	0.180179409	0.167747383	0.508146088	0.285777135	0.369834058	0.23781812	0.181273232	0.149868398	0.215504426	0.157532321	0.250767557	0.225676789	0.177102937	0.225275229	0.180527541	0.261427496	0.537356434	0.297128419	0.144186436	0.173841214	0.307443155
X15_d56	0.247953363	0.189514077	0.220302743	0.151579382	0.187776082	0	0.158792074	0.390537679	0.148491452	0.177080346	0.142038028	0.140734171	0.157593922	0.21034754	0.137751601	0.140255717	0.164157423	0.168662238	0.20279091	0.148279071	0.141397675	0.125958564	0.132368298	0.14556242	0.174171751	0.190146524	0.244899008	0.223649282	0.207250238	0.181436232	0.221342767	0.162526776	0.291182041	0.146423118	0.177969932	0.420198487	0.241197625	0.281647162	0.176528003	0.159980614	0.211672627	0.167720684	0.120528938	0.223754252	0.1610932	0.14569472	0.163881539	0.175475621	0.239729382	0.437353841	0.242375894	0.20010799	0.135198502	0.252450008
X16_d56	0.241296797	0.147091651	0.172375933	0.132931631	0.135588834	0.158792074	0	0.404431638	0.148570903	0.239633017	0.120782565	0.128160873	0.14034876	0.143689734	0.139577558	0.119650642	0.157664008	0.16658273	0.147502667	0.147936934	0.133401266	0.114541258	0.184441096	0.116806695	0.239601106	0.247047148	0.276644919	0.207891074	0.258343815	0.197475315	0.184841953	0.214916329	0.341287892	0.170796858	0.160215672	0.474211063	0.280521171	0.34841362	0.182508105	0.136617023	0.143905608	0.210292536	0.128075596	0.262954646	0.217063196	0.18216865	0.2158408	0.174457663	0.250209572	0.509652077	0.297892297	0.161180538	0.106094971	0.319107733
X17_d56	0.389989078	0.440405175	0.486522002	0.441140092	0.477824374	0.390537679	0.404431638	0	0.458155206	0.392664187	0.377022908	0.403184531	0.429686613	0.453544728	0.431142301	0.409801827	0.409456766	0.437669934	0.426277817	0.435949751	0.389126767	0.395473018	0.353898549	0.429103947	0.446259467	0.439750552	0.359740677	0.51188701	0.317227026	0.464549719	0.510635771	0.423713808	0.433763896	0.44637041	0.439376433	0.280441738	0.477066944	0.34320215	0.302907259	0.363808938	0.473720101	0.445866029	0.428749845	0.485344394	0.42266447	0.420122759	0.440359893	0.446994057	0.481612835	0.393541821	0.443750619	0.484364197	0.366340762	0.400809262
X18_d56	0.276879345	0.163677069	0.213235704	0.128794123	0.155940357	0.148491452	0.148570903	0.458155206	0	0.237282747	0.177514667	0.148397979	0.162193968	0.162387896	0.13683275	0.129098413	0.156653666	0.152560339	0.211349048	0.148954351	0.172233213	0.156729559	0.18311286	0.13660361	0.216804608	0.236132386	0.248739249	0.227901368	0.253781142	0.176308375	0.176770396	0.212448021	0.333082033	0.16875466	0.185570328	0.48731164	0.264709329	0.328282676	0.222549889	0.175318967	0.206630934	0.199131705	0.120643693	0.256555494	0.188592957	0.18671486	0.197545557	0.178783277	0.259289782	0.507907063	0.27922996	0.174130563	0.176101705	0.293114649
X19_d56	0.291672347	0.25588913	0.305840916	0.249959785	0.270280106	0.177080346	0.239633017	0.392664187	0.237282747	0	0.214887962	0.22910266	0.235590926	0.30543447	0.168824401	0.222628508	0.208904052	0.175609512	0.281960315	0.159610266	0.192400794	0.19937748	0.142527959	0.201017372	0.210320818	0.14584002	0.279466862	0.285760316	0.228980885	0.181301628	0.296915012	0.107776569	0.222749017	0.186285133	0.255836402	0.421924996	0.202110824	0.194257598	0.22104893	0.223191505	0.299620191	0.184128955	0.186206034	0.20080596	0.155953276	0.227814616	0.152703914	0.235090008	0.235285295	0.359212754	0.203623943	0.282560309	0.194098778	0.190244237
