	10_d84	11_d84	12_d84	13_d84	14_d84	15_d84	16_d84	17_d84	18_d84	19_d84	2_d84	20_d84	21_d84	23_d84	24_d84	26_d84	27_d84	28_d84	29_d84	3_d84	30_d84	4_d84	5_d84	6_d84	61_d84	62_d84	64_d84	65_d84	66_d84	68_d84	7_d84	70_d84	71_d84	72_d84	73_d84	74_d84	75_d84	76_d84	77_d84	78_d84	79_d84	8_d84	80_d84	81_d84	83_d84	84_d84	85_d84	86_d84	88_d84	89_d84	9_d84	90_d84
X10_d84	0	0.166573185	0.125272006	0.101260399	0.135430416	0.109606148	0.254253674	0.106210533	0.161840859	0.239657305	0.15320037	0.165048973	0.140045408	0.173979333	0.131639578	0.175069543	0.129126786	0.223296148	0.2306065	0.175032649	0.269262725	0.199126516	0.127059496	0.179318465	0.109903141	0.144440758	0.273596752	0.174022316	0.165335791	0.157763574	0.171201111	0.170096337	0.16869904	0.173642742	0.1267899	0.198163425	0.132024229	0.175639392	0.119364574	0.132280021	0.235143449	0.151809621	0.131162494	0.121297484	0.124041997	0.159364736	0.12674343	0.216126899	0.145350889	0.155391515	0.172022602	0.201083081
X11_d84	0.166573185	0	0.096100613	0.196164562	0.151528052	0.21163485	0.150141155	0.165830852	0.13891869	0.165064674	0.108671147	0.139618471	0.150946136	0.1846803	0.165157125	0.146683496	0.155607721	0.130920207	0.154497958	0.162983888	0.192968476	0.147567794	0.14658697	0.113464887	0.18794508	0.22874405	0.358257828	0.253934643	0.249915753	0.169392186	0.131039701	0.265852106	0.264065217	0.264405779	0.186496165	0.206519821	0.216703476	0.251591383	0.208178913	0.227005516	0.331739979	0.121043464	0.186539488	0.217143709	0.194879178	0.226768831	0.172070691	0.222924701	0.210046342	0.247329548	0.164644993	0.292664968
X12_d84	0.125272006	0.096100613	0	0.162823732	0.122909206	0.168612694	0.172407149	0.136442449	0.113191894	0.180506358	0.108797567	0.109244303	0.118000609	0.141556739	0.11340707	0.120256491	0.142806576	0.135579146	0.155477763	0.149757816	0.199994854	0.141785947	0.128034178	0.115864056	0.155042623	0.199079911	0.346287208	0.224094665	0.217724649	0.12252112	0.118991887	0.226205997	0.232610245	0.233445497	0.156034572	0.161090535	0.191109209	0.228106099	0.183807929	0.197205832	0.295185465	0.098120907	0.164257803	0.175891348	0.147411052	0.196703542	0.147957143	0.205548575	0.173866978	0.209790284	0.122616088	0.263923192
X13_d84	0.101260399	0.196164562	0.162823732	0	0.137359792	0.109367711	0.286284666	0.122654257	0.182770504	0.251262098	0.17376738	0.1810072	0.17493278	0.17870411	0.15158619	0.187365902	0.161542082	0.252461892	0.227875536	0.192998717	0.278563529	0.209541974	0.137999486	0.210291735	0.139731741	0.162108874	0.27805231	0.179965419	0.177541773	0.173343051	0.180012233	0.178626723	0.188433852	0.188566273	0.158374067	0.224523977	0.159361491	0.185107538	0.146766588	0.157273544	0.24154276	0.164437464	0.161860823	0.141876116	0.151057564	0.182416656	0.152881528	0.241857268	0.165859406	0.166752565	0.202532413	0.214599744
X14_d84	0.135430416	0.151528052	0.122909206	0.137359792	0	0.142397881	0.230356998	0.137071846	0.148561652	0.198367446	0.128354752	0.149478746	0.139815986	0.131963592	0.14687467	0.156619112	0.148332662	0.209421574	0.189730805	0.167482731	0.248431766	0.158229959	0.12623631	0.171623756	0.138980504	0.179679341	0.316574267	0.198146992	0.165785829	0.131756498	0.129853904	0.193003156	0.191102122	0.195985727	0.143695431	0.195741429	0.176433933	0.200809196	0.160625752	0.172844033	0.250001774	0.145098917	0.177382978	0.154189193	0.148525029	0.14547366	0.141101071	0.21067786	0.164787533	0.171706548	0.185850874	0.217284097
X15_d84	0.109606148	0.21163485	0.168612694	0.109367711	0.142397881	0	0.295930618	0.147239861	0.185312086	0.252121915	0.16876132	0.187755836	0.179874469	0.163162306	0.171389516	0.21830476	0.165595846	0.255056445	0.219092944	0.187335854	0.292249415	0.206233649	0.16797502	0.211683846	0.119072082	0.155427898	0.253476574	0.158294082	0.171791217	0.178884042	0.174930839	0.15857715	0.159260682	0.16812827	0.163536103	0.220622752	0.161860972	0.160064095	0.133848045	0.124811132	0.213102222	0.188504474	0.143017366	0.126892188	0.146639614	0.16855603	0.145831851	0.215554963	0.165821756	0.150043968	0.194977917	0.179742729
X16_d84	0.254253674	0.150141155	0.172407149	0.286284666	0.230356998	0.295930618	0	0.222504622	0.192650698	0.1882138	0.193350536	0.177764006	0.224675504	0.248318775	0.212128006	0.203650204	0.246553616	0.153799616	0.183446736	0.203369895	0.197071632	0.199749815	0.221297432	0.155995916	0.267128662	0.312051401	0.456806022	0.324710025	0.332870062	0.225472461	0.200297148	0.346695307	0.339714259	0.345917733	0.243383873	0.237025968	0.30097237	0.339080143	0.297912349	0.310794138	0.415690602	0.190236714	0.265445499	0.295586109	0.260828347	0.296866877	0.260973009	0.289039459	0.28019521	0.305029493	0.181850191	0.360343969
X17_d84	0.106210533	0.165830852	0.136442449	0.122654257	0.137071846	0.147239861	0.222504622	0	0.145734658	0.242128219	0.157920368	0.160961006	0.149023093	0.183204511	0.133056972	0.167724281	0.134899614	0.212673257	0.231321286	0.181811502	0.273030461	0.196880846	0.061481981	0.182276475	0.14485531	0.181434304	0.312142965	0.202089554	0.194297204	0.169824633	0.185261672	0.200931255	0.207188777	0.207676002	0.122683486	0.199413473	0.163562238	0.202049749	0.16696844	0.174997868	0.270970908	0.136972009	0.154100378	0.155090606	0.141887481	0.186418105	0.158085772	0.240551469	0.172333688	0.177893011	0.157913411	0.234452617
X18_d84	0.161840859	0.13891869	0.113191894	0.182770504	0.148561652	0.185312086	0.192650698	0.145734658	0	0.233432131	0.123845492	0.137506841	0.134533045	0.200245347	0.153211549	0.180841445	0.160476725	0.171002273	0.194894306	0.10974928	0.243296755	0.193045047	0.151742041	0.136804142	0.195765174	0.236941369	0.360982393	0.26340981	0.237577154	0.1655922	0.17327577	0.263891299	0.261610335	0.272593265	0.170834201	0.1802288	0.207217209	0.26375902	0.212082138	0.225525834	0.333045148	0.100804934	0.18592527	0.217933577	0.180521245	0.216028822	0.167631156	0.220401822	0.208866959	0.220978913	0.133253605	0.27268965
X19_d84	0.239657305	0.165064674	0.180506358	0.251262098	0.198367446	0.252121915	0.1882138	0.242128219	0.233432131	0	0.165973496	0.202502053	0.236229321	0.194907432	0.224843572	0.190859947	0.256234997	0.158217454	0.134560278	0.238558533	0.140232749	0.163397168	0.223162365	0.186845031	0.237490756	0.281088794	0.412857168	0.29943113	0.289771251	0.209756144	0.128387628	0.303318162	0.308126464	0.304666759	0.271048782	0.270801687	0.299655352	0.298683761	0.26352209	0.276851372	0.36326363	0.21436561	0.285979947	0.262651392	0.258416833	0.271160446	0.24213502	0.28365025	0.278179201	0.289406856	0.244670729	0.33496016
X2_d84	0.15320037	0.108671147	0.108797567	0.17376738	0.128354752	0.16876132	0.193350536	0.157920368	0.123845492	0.165973496	0	0.133448137	0.146338049	0.184194232	0.153437887	0.156423072	0.165476181	0.14848725	0.135908116	0.126234144	0.186008151	0.126666118	0.144671136	0.1114311	0.187784662	0.227153991	0.358619324	0.250136355	0.23622727	0.152312128	0.144547341	0.246986005	0.260113432	0.257126944	0.182006171	0.203456087	0.210981033	0.25098187	0.207217297	0.218947431	0.31668741	0.126331109	0.195316836	0.203502916	0.175905663	0.213188899	0.173094024	0.226865966	0.201523838	0.233811415	0.159205399	0.276025408
X20_d84	0.165048973	0.139618471	0.109244303	0.1810072	0.149478746	0.187755836	0.177764006	0.160961006	0.137506841	0.202502053	0.133448137	0	0.125408189	0.186247062	0.12743156	0.149031099	0.160705522	0.165564977	0.156025215	0.173482512	0.219072338	0.17665907	0.158956488	0.122511394	0.171674772	0.23003285	0.368343627	0.232833127	0.230848514	0.13133643	0.155058083	0.239563831	0.258800856	0.25769984	0.183131642	0.151970733	0.217491086	0.25851149	0.208033012	0.222765038	0.304967283	0.120591684	0.185543757	0.20588027	0.169844182	0.211903204	0.175093505	0.219141469	0.195084741	0.229143123	0.117330582	0.280997338
X21_d84	0.140045408	0.150946136	0.118000609	0.17493278	0.139815986	0.179874469	0.224675504	0.149023093	0.134533045	0.236229321	0.146338049	0.125408189	0	0.205220309	0.164031904	0.170811606	0.14451192	0.215987008	0.223189092	0.154495397	0.264192532	0.20728474	0.159950139	0.172232942	0.161731141	0.198426706	0.33771927	0.229808342	0.188509398	0.164968033	0.174223797	0.216152529	0.2251513	0.233923245	0.168022961	0.152709308	0.188166645	0.223602854	0.184007919	0.214689931	0.280227659	0.146383692	0.186168746	0.181178081	0.177969354	0.16875362	0.150614965	0.192100738	0.200574692	0.193900152	0.147260998	0.240202795
X23_d84	0.173979333	0.1846803	0.141556739	0.17870411	0.131963592	0.163162306	0.248318775	0.183204511	0.200245347	0.194907432	0.184194232	0.186247062	0.205220309	0	0.154072772	0.14514798	0.195344279	0.199147936	0.200437245	0.221853189	0.230770986	0.146794161	0.158400017	0.208871884	0.15637585	0.225116815	0.316845198	0.203652131	0.198170959	0.148171842	0.110643409	0.210866607	0.221650856	0.21006267	0.200647383	0.249344115	0.235468312	0.213172088	0.197614286	0.185623989	0.266361567	0.195227844	0.21517773	0.189333001	0.184643116	0.181715419	0.173754105	0.246943238	0.188894003	0.198576377	0.203185226	0.237902485
X24_d84	0.131639578	0.165157125	0.11340707	0.15158619	0.14687467	0.171389516	0.212128006	0.133056972	0.153211549	0.224843572	0.153437887	0.12743156	0.164031904	0.154072772	0	0.155763917	0.155279353	0.19087217	0.187325523	0.160211892	0.250103905	0.146504631	0.130507975	0.153316479	0.154329724	0.201380629	0.324171315	0.195693951	0.221733506	0.118944158	0.162738799	0.216288584	0.234256807	0.231810098	0.159928659	0.167284867	0.195733783	0.225504767	0.182707974	0.19104069	0.294054667	0.124373374	0.170806451	0.174784847	0.120896392	0.195557293	0.150243052	0.229934089	0.152363423	0.209914806	0.132319025	0.266104468
X26_d84	0.175069543	0.146683496	0.120256491	0.187365902	0.156619112	0.21830476	0.203650204	0.167724281	0.180841445	0.190859947	0.156423072	0.149031099	0.170811606	0.14514798	0.155763917	0	0.167841135	0.169342212	0.187912629	0.222054056	0.211650045	0.182892598	0.141835636	0.178936554	0.200810937	0.230064189	0.370983582	0.245088704	0.253338242	0.156241839	0.141562483	0.259811603	0.270803285	0.257435981	0.184030602	0.228444838	0.23425138	0.255020608	0.22455247	0.228475212	0.328029366	0.148451549	0.228918305	0.215103734	0.19414832	0.233479454	0.201910348	0.251556278	0.204893414	0.247780903	0.162671558	0.296668497
X27_d84	0.129126786	0.155607721	0.142806576	0.161542082	0.148332662	0.165595846	0.246553616	0.134899614	0.160476725	0.256234997	0.165476181	0.160705522	0.14451192	0.195344279	0.155279353	0.167841135	0	0.195292038	0.239207642	0.197797545	0.278339695	0.207407385	0.139544039	0.190920627	0.146341197	0.163548841	0.299028154	0.194358533	0.193220452	0.174189985	0.194242212	0.199509482	0.209835904	0.194819764	0.117046992	0.209228889	0.150352373	0.191437928	0.139117904	0.170810022	0.261210067	0.151021045	0.152392014	0.143759501	0.12878652	0.168582412	0.137863871	0.189247013	0.160855797	0.185411286	0.149711988	0.222452324
X28_d84	0.223296148	0.130920207	0.135579146	0.252461892	0.209421574	0.255056445	0.153799616	0.212673257	0.171002273	0.158217454	0.14848725	0.165564977	0.215987008	0.199147936	0.19087217	0.169342212	0.195292038	0	0.145963359	0.195916603	0.152668957	0.176291546	0.194186699	0.137978253	0.236804616	0.275635086	0.420092994	0.28920729	0.308092813	0.205308482	0.176328772	0.310140318	0.310605896	0.30782642	0.219164195	0.231059783	0.26694274	0.303741757	0.256993269	0.272402623	0.377539426	0.153512281	0.237713778	0.257575554	0.223300247	0.275985472	0.234853807	0.271392349	0.243400233	0.28480936	0.164768404	0.33267816
X29_d84	0.2306065	0.154497958	0.155477763	0.227875536	0.189730805	0.219092944	0.183446736	0.231321286	0.194894306	0.134560278	0.135908116	0.156025215	0.223189092	0.200437245	0.187325523	0.187912629	0.239207642	0.145963359	0	0.17848507	0.143397691	0.164046298	0.218334633	0.141964691	0.232205755	0.282841015	0.411357212	0.292484498	0.301181741	0.184620965	0.170773917	0.314964864	0.323480521	0.326311845	0.250196107	0.22539156	0.297205306	0.317376787	0.271395098	0.288475892	0.375419826	0.182716606	0.24994926	0.275383043	0.236124491	0.28781078	0.243409284	0.274223836	0.250952381	0.297300508	0.19168823	0.344721733
X3_d84	0.175032649	0.162983888	0.149757816	0.192998717	0.167482731	0.187335854	0.203369895	0.181811502	0.10974928	0.238558533	0.126234144	0.173482512	0.154495397	0.221853189	0.160211892	0.222054056	0.197797545	0.195916603	0.17848507	0	0.239767582	0.186348519	0.186619099	0.14520744	0.20090527	0.244108407	0.362809998	0.259581307	0.258447686	0.180198776	0.202876545	0.273506162	0.267647328	0.290544574	0.196038447	0.169911396	0.221099268	0.280116574	0.218393536	0.23684972	0.33668857	0.16023239	0.194267708	0.229208259	0.193069184	0.227063046	0.181426014	0.212502957	0.220461748	0.231993796	0.16831562	0.276033013
X30_d84	0.269262725	0.192968476	0.199994854	0.278563529	0.248431766	0.292249415	0.197071632	0.273030461	0.243296755	0.140232749	0.186008151	0.219072338	0.264192532	0.230770986	0.250103905	0.211650045	0.278339695	0.152668957	0.143397691	0.239767582	0	0.223415434	0.254746824	0.190936816	0.29470956	0.330242935	0.465149848	0.356164462	0.349514264	0.253661869	0.21384926	0.361771752	0.373400481	0.370427675	0.300882416	0.286049092	0.339780173	0.365376883	0.322364358	0.340009709	0.419549508	0.219252531	0.30191191	0.322861146	0.28897802	0.33606086	0.299291915	0.328494083	0.304286559	0.355511281	0.247218983	0.396167174
X4_d84	0.199126516	0.147567794	0.141785947	0.209541974	0.158229959	0.206233649	0.199749815	0.196880846	0.193045047	0.163397168	0.126666118	0.17665907	0.20728474	0.146794161	0.146504631	0.182892598	0.207407385	0.176291546	0.164046298	0.186348519	0.223415434	0	0.185861355	0.166277817	0.190808464	0.243806121	0.366641031	0.235951016	0.243825458	0.150108341	0.14451196	0.254386174	0.260880878	0.260374003	0.220312584	0.229868251	0.249689191	0.257891749	0.214935315	0.228098638	0.320048022	0.185520933	0.228560575	0.209946339	0.197407469	0.22085545	0.188496071	0.246590702	0.205438379	0.23868393	0.195427457	0.286737613
X5_d84	0.127059496	0.14658697	0.128034178	0.137999486	0.12623631	0.16797502	0.221297432	0.061481981	0.151742041	0.223162365	0.144671136	0.158956488	0.159950139	0.158400017	0.130507975	0.141835636	0.139544039	0.194186699	0.218334633	0.186619099	0.254746824	0.185861355	0	0.173594093	0.163184572	0.203790119	0.329534185	0.218276274	0.221238647	0.16097008	0.159431486	0.216171155	0.233382043	0.223414313	0.152338882	0.208425125	0.189753445	0.212713793	0.183061429	0.188381356	0.29023426	0.12349727	0.184671176	0.175589572	0.143706422	0.197143275	0.159159768	0.240372274	0.188337967	0.208025741	0.156735675	0.259538604
X6_d84	0.179318465	0.113464887	0.115864056	0.210291735	0.171623756	0.211683846	0.155995916	0.182276475	0.136804142	0.186845031	0.1114311	0.122511394	0.172232942	0.208871884	0.153316479	0.178936554	0.190920627	0.137978253	0.141964691	0.14520744	0.190936816	0.166277817	0.173594093	0	0.214408774	0.261960373	0.390301087	0.285562893	0.278981788	0.171511292	0.159147492	0.273837492	0.293064491	0.289359958	0.191921185	0.175742578	0.249932254	0.283919939	0.242080435	0.248804605	0.351297562	0.11522573	0.210140965	0.234201846	0.186404685	0.250220557	0.207926408	0.249199343	0.230468383	0.272317189	0.136147023	0.318404225
X61_d84	0.109903141	0.18794508	0.155042623	0.139731741	0.138980504	0.119072082	0.267128662	0.14485531	0.195765174	0.237490756	0.187784662	0.171674772	0.161731141	0.15637585	0.154329724	0.200810937	0.146341197	0.236804616	0.232205755	0.20090527	0.29470956	0.190808464	0.163184572	0.214408774	0	0.13175971	0.253743222	0.118270767	0.137331593	0.154645138	0.162798658	0.1464635	0.154826129	0.154565896	0.136167306	0.184608061	0.131820218	0.149637847	0.093982483	0.117270327	0.199045485	0.202147225	0.126492767	0.105101148	0.128115045	0.130288104	0.097473428	0.178331743	0.129380165	0.120153502	0.17874108	0.171119208
X62_d84	0.144440758	0.22874405	0.199079911	0.162108874	0.179679341	0.155427898	0.312051401	0.181434304	0.236941369	0.281088794	0.227153991	0.23003285	0.198426706	0.225116815	0.201380629	0.230064189	0.163548841	0.275635086	0.282841015	0.244108407	0.330242935	0.243806121	0.203790119	0.261960373	0.13175971	0	0.218549379	0.121914511	0.14427411	0.204839542	0.215063618	0.135677487	0.126663812	0.110861859	0.138318527	0.225451618	0.105539303	0.10046431	0.098674028	0.125273576	0.160948524	0.234510421	0.152380861	0.088427992	0.163091687	0.138713561	0.136443539	0.191012683	0.150169707	0.116333308	0.231719677	0.12972952
X64_d84	0.273596752	0.358257828	0.346287208	0.27805231	0.316574267	0.253476574	0.456806022	0.312142965	0.360982393	0.412857168	0.358619324	0.368343627	0.33771927	0.316845198	0.324171315	0.370983582	0.299028154	0.420092994	0.411357212	0.362809998	0.465149848	0.366641031	0.329534185	0.390301087	0.253743222	0.218549379	0	0.209203762	0.211790967	0.335153157	0.31619059	0.173773929	0.191589811	0.171606556	0.292134905	0.370480741	0.238294904	0.171040409	0.228018135	0.219816639	0.158595567	0.363129918	0.265397148	0.221318636	0.295734007	0.229257148	0.265613221	0.317832418	0.296958795	0.220753406	0.362903551	0.211904878
X65_d84	0.174022316	0.253934643	0.224094665	0.179965419	0.198146992	0.158294082	0.324710025	0.202089554	0.26340981	0.29943113	0.250136355	0.232833127	0.229808342	0.203652131	0.195693951	0.245088704	0.194358533	0.28920729	0.292484498	0.259581307	0.356164462	0.235951016	0.218276274	0.285562893	0.118270767	0.121914511	0.209203762	0	0.17183313	0.202724403	0.222825755	0.162756216	0.14942414	0.155113073	0.173559833	0.248352837	0.136590977	0.147112388	0.125550647	0.12945142	0.167117359	0.257606289	0.172446916	0.11351358	0.18740727	0.172787467	0.161171316	0.213711871	0.163237924	0.137599097	0.231234065	0.166892099
