	1_d0	10_d0	11_d0	12_d0	13_d0	14_d0	15_d0	16_d0	18_d0	2_d0	20_d0	21_d0	24_d0	25_d0	26_d0	29_d0	3_d0	4_d0	5_d0	6_d0	61_d0	62_d0	63_d0	64_d0	65_d0	66_d0	67_d0	68_d0	69_d0	70_d0	71_d0	72_d0	73_d0	74_d0	75_d0	76_d0	77_d0	78_d0	79_d0	8_d0	80_d0	81_d0	82_d0	83_d0	84_d0	85_d0	86_d0	87_d0	88_d0	89_d0	9_d0	90_d0
X1_d0	0	0.10219487	0.279518555	0.193721797	0.303886114	0.155311408	0.447108002	0.216472551	0.302253039	0.210126115	0.331375804	0.334143956	0.245512662	0.379212472	0.339354396	0.343238886	0.119845807	0.243498885	0.109627163	0.29801411	0.461756781	0.491878765	0.411667952	0.45895718	0.41711048	0.283113011	0.296447864	0.441590307	0.381676625	0.302450275	0.265539692	0.255145788	0.136488886	0.346156885	0.362188864	0.234133169	0.268144608	0.147275714	0.468604756	0.281423965	0.341713599	0.368597354	0.396503889	0.227753577	0.420922454	0.204481939	0.182712535	0.305089934	0.277770532	0.178039394	0.291819838	0.44009305
X10_d0	0.10219487	0	0.264611703	0.181673605	0.322809029	0.147341798	0.462925003	0.258205516	0.292269163	0.217562773	0.319029693	0.376938707	0.294703349	0.37583491	0.333416882	0.336427698	0.113548686	0.259738273	0.104365567	0.328131543	0.47740713	0.516043077	0.430771762	0.497794234	0.430670384	0.277073921	0.291095393	0.45935686	0.417201069	0.304770665	0.291800662	0.290308794	0.131928264	0.358997519	0.38267995	0.292575945	0.304691417	0.14302324	0.486741801	0.319141734	0.325931579	0.37950223	0.406886217	0.233083291	0.439067849	0.234060911	0.161449909	0.293632954	0.27828816	0.217999748	0.319231137	0.459029124
X11_d0	0.279518555	0.264611703	0	0.235932096	0.354639468	0.349225725	0.3973324	0.254654979	0.170379546	0.215825085	0.139213169	0.366930619	0.34984106	0.29487111	0.25157419	0.252902218	0.222092565	0.327322853	0.21747925	0.395467006	0.404037565	0.488348924	0.379412254	0.472790685	0.369830213	0.213861357	0.218615109	0.38261862	0.368218287	0.212258117	0.215733002	0.309682786	0.236103087	0.322261912	0.320878894	0.392484161	0.350549737	0.23712179	0.472739054	0.397483602	0.201941805	0.397033439	0.328639722	0.245326333	0.385625057	0.215580902	0.19994461	0.200271433	0.264829539	0.285331297	0.396603537	0.428693783
X12_d0	0.193721797	0.181673605	0.235932096	0	0.262269119	0.205404834	0.345124581	0.162299679	0.196297088	0.272340958	0.288347032	0.416077399	0.286806119	0.25853802	0.269347526	0.187537329	0.145984567	0.199259686	0.154903663	0.315950872	0.409996791	0.500109382	0.343159627	0.485781568	0.322641756	0.140946874	0.168400805	0.357362501	0.358541334	0.225421921	0.330008555	0.304064669	0.179257458	0.306010284	0.269313501	0.291842018	0.29060493	0.177988117	0.475526105	0.302160141	0.325737116	0.355201346	0.322199836	0.275610067	0.395806996	0.25410513	0.12706097	0.18652737	0.229249276	0.221495452	0.300867293	0.428396543
X13_d0	0.303886114	0.322809029	0.354639468	0.262269119	0	0.287968347	0.165658765	0.264637258	0.334488556	0.347579826	0.41155504	0.454341183	0.270555692	0.33068239	0.324311978	0.34505496	0.264677675	0.284494355	0.269661967	0.231531949	0.222960268	0.307522492	0.339540343	0.323203541	0.282526425	0.31329543	0.33874356	0.159293292	0.189962825	0.329740998	0.310286007	0.255966678	0.291067033	0.202083119	0.296674778	0.206109938	0.213479194	0.33237402	0.232659605	0.359197572	0.404261015	0.157605701	0.259177733	0.294332638	0.244977223	0.32435591	0.253744383	0.364435129	0.281909586	0.281032454	0.371578768	0.274589837
X14_d0	0.155311408	0.147341798	0.349225725	0.205404834	0.287968347	0	0.413262022	0.25157711	0.330905422	0.296368812	0.3828547	0.409179422	0.246958297	0.339283127	0.310210113	0.326510161	0.182990752	0.245992712	0.174868367	0.263211625	0.430418585	0.458164213	0.388255673	0.446932518	0.387267805	0.301648605	0.319364379	0.417370543	0.37375508	0.326414535	0.307702753	0.273889008	0.188107289	0.309361895	0.333151256	0.262647218	0.273109651	0.213744352	0.446700924	0.307767391	0.355565659	0.327644323	0.345814664	0.27909834	0.391295172	0.274798459	0.232794855	0.352040548	0.267645202	0.233931089	0.330116818	0.401207836
X15_d0	0.447108002	0.462925003	0.3973324	0.345124581	0.165658765	0.413262022	0	0.296213707	0.336422817	0.463343869	0.449051258	0.472464542	0.361013897	0.283313795	0.330695194	0.313724662	0.398873292	0.392773963	0.406234927	0.280462549	0.18425514	0.269903129	0.308907498	0.304463542	0.221209133	0.314226612	0.306132953	0.081960193	0.204019217	0.325470336	0.341034729	0.336719055	0.405191446	0.223269575	0.245496909	0.329166007	0.299705772	0.455343226	0.187797837	0.472328828	0.435200981	0.176758018	0.263012797	0.351450215	0.214245455	0.461495574	0.36942906	0.344400486	0.342377629	0.392467712	0.493307384	0.241290626
X16_d0	0.216472551	0.258205516	0.254654979	0.162299679	0.264637258	0.25157711	0.296213707	0	0.178114626	0.244384417	0.303274736	0.35095428	0.233685031	0.211654939	0.224771387	0.190618606	0.208186946	0.210676079	0.210128437	0.25983347	0.359693035	0.432243486	0.277250379	0.402155702	0.265671366	0.163951354	0.176606119	0.300067601	0.268500036	0.213523786	0.280230026	0.285180987	0.23924355	0.245066097	0.208161709	0.25662136	0.233333261	0.254753786	0.415434952	0.314080078	0.312752043	0.31608676	0.283289742	0.257363691	0.326586535	0.269704966	0.180959979	0.2113579	0.19069722	0.208402234	0.339338565	0.36029602
X18_d0	0.302253039	0.292269163	0.170379546	0.196297088	0.334488556	0.330905422	0.336422817	0.178114626	0	0.263695045	0.181384556	0.365666471	0.330130383	0.227036695	0.196775709	0.177374069	0.234746196	0.288229774	0.233848682	0.350095115	0.369198943	0.451916197	0.289099817	0.434485462	0.286751311	0.14065681	0.133830085	0.291781033	0.319377984	0.141139635	0.252670754	0.31110335	0.254525712	0.281286903	0.219888343	0.362637013	0.31990869	0.229991554	0.456444882	0.382809245	0.211017762	0.364618435	0.276931574	0.252518312	0.335793458	0.246856681	0.159956613	0.110590829	0.218103629	0.281288035	0.3812036	0.38331538
X2_d0	0.210126115	0.217562773	0.215825085	0.272340958	0.347579826	0.296368812	0.463343869	0.244384417	0.263695045	0	0.260291426	0.33063676	0.259617399	0.372079575	0.314731345	0.350486639	0.184519545	0.336603642	0.175057685	0.349372572	0.479145404	0.503644515	0.43402718	0.472244049	0.4424477	0.299039025	0.318183014	0.463846006	0.400356051	0.298277179	0.241730131	0.271206871	0.197038479	0.355599477	0.384395212	0.234344615	0.28725017	0.185029797	0.480038426	0.368080361	0.251815589	0.371092716	0.394849973	0.230903388	0.434534413	0.159591573	0.206169992	0.308635111	0.280390641	0.215965544	0.347923417	0.445899397
