	pielou_e
1_d0	0.5041312212688673
10_d0	0.4564478156532073
10_d112	0.759781908341941
10_d28	0.7905050097733247
10_d56	0.7248026317724443
10_d84	0.7411271997645198
11_d0	0.44725660857900795
11_d112	0.7822602438719541
11_d28	0.6612582995744036
11_d56	0.7312042455315654
11_d84	0.7936877047892956
12_d0	0.5080446417857931
12_d112	0.8035110720426727
12_d28	0.6778516659300596
12_d56	0.7409342589122897
12_d84	0.8193267630038684
13_d0	0.42536961928855327
13_d112	0.7162802524648769
13_d28	0.7357039654511845
13_d56	0.7385420067577163
13_d84	0.7370191498532027
14_d0	0.47267237070267587
14_d112	0.7761358381078857
14_d28	0.6405263393368301
14_d56	0.742896086083008
14_d84	0.7654204943576824
15_d0	0.3592850258643774
15_d112	0.7924467543676195
15_d28	0.7133210308975481
15_d56	0.781773086525713
15_d84	0.7304172591594276
16_d0	0.61024689337253
16_d112	0.8124832111348724
16_d28	0.6848327810263963
16_d56	0.7372098809985632
16_d84	0.7299228652363713
17_d112	0.7996617594439794
17_d28	0.7489044387220665
17_d56	0.5975173373473996
17_d84	0.704857273585321
18_d0	0.5321417898739138
18_d112	0.8083653104502705
18_d28	0.6515441109303316
18_d56	0.7493699141125554
18_d84	0.7932288690155823
19_d112	0.768908267591674
19_d28	0.7638001643406004
19_d56	0.764693769343964
19_d84	0.7723129821736623
2_d0	0.5824491348784754
2_d112	0.806563698138111
2_d28	0.763387697528015
2_d56	0.7833830947389642
2_d84	0.7541166626409551
20_d0	0.40769693730023865
20_d112	0.7746170547170925
20_d28	0.6948196596088883
20_d56	0.800810687979027
20_d84	0.805287166680669
21_d0	0.590338399876552
21_d112	0.7629117781181757
21_d28	0.7435243331103908
21_d56	0.7697782064143255
21_d84	0.7865895870021139
22_d28	0.7119949031236562
23_d112	0.7901195015116619
23_d28	0.7041141014652302
23_d56	0.6977796442722206
23_d84	0.7431989351413087
24_d0	0.5517392881489994
24_d112	0.7823120894767288
24_d28	0.7505897935141005
24_d56	0.7411780953449486
24_d84	0.7147992410773938
25_d0	0.5116854726558037
25_d28	0.7564468567686712
26_d0	0.5959202779677794
26_d112	0.741396872187356
26_d28	0.6447322482131503
26_d56	0.7497930755764806
26_d84	0.7692603136473285
27_d112	0.7572190903872217
27_d56	0.731264970945183
27_d84	0.7680306816956449
28_d112	0.7602647982093729
28_d28	0.6689071288991029
28_d56	0.6787569446798275
28_d84	0.7865380836559118
29_d0	0.34503482184898293
29_d112	0.75954358715527
29_d28	0.7129889391641081
29_d56	0.7495583315182293
29_d84	0.7080471204555783
3_d0	0.5629817947554189
3_d112	0.7735068245973225
3_d28	0.763120901162786
3_d56	0.7700157437813636
3_d84	0.6811224397947016
30_d112	0.7343054956628703
