OTUs	Phylum	Class	Order	Family	Genus	Species	Confidence
0007b724b0d798f7bea1a4b4da21ede7	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	unclassified_Oscillospira	0.9945801
0007c29dcbab10c9c70702bd35c7c1e2	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified_Ruminococcaceae	unclassified_Ruminococcaceae	0.9999546
002bbad94d781aae5ebe34299c15ae42	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	unclassified_Parabacteroides	0.7067078
003822bc057a1e72361187856d78778f	Tenericutes	Mollicutes	RF39	unclassified_RF39	unclassified_RF39	unclassified_RF39	1
0038880002af9092cd2394d3f9b8f58c	Tenericutes	Mollicutes	RF39	unclassified_RF39	unclassified_RF39	unclassified_RF39	1
005806e5d85df7284ae9f24e65d32772	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified_Lachnospiraceae	unclassified_Lachnospiraceae	0.8776258
0058cd5f81cb19683744a0ddd70cda13	Firmicutes	Clostridia	Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	0.9991241
005e76c77217aa6e85e714c970feb805	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified_Lachnospiraceae	unclassified_Lachnospiraceae	0.9820548
0068b6ddb65e1617a197a7c787598205	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	unclassified_Parabacteroides	0.9997438
006d868b163257dd1d2b072d15da9d01	Firmicutes	Clostridia	Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	0.950958
007778fad8f0aee37bcb2eade5f56547	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified_Ruminococcaceae	unclassified_Ruminococcaceae	0.9966802
0077d2112b9fcb2fd18ebf986a8287b2	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	unclassified_Ruminococcus	0.9454545
007b4dc492d783746407f4a039751f86	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium perfringens	0.9998277
0095a30bc8902882a96c904c598be3dc	Bacteroidetes	Bacteroidia	Bacteroidales	Paraprevotellaceae	YRC22	unclassified_YRC22	1
00998160503d7a0e3f13539dd8556ede	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified_Ruminococcaceae	unclassified_Ruminococcaceae	0.9999409
009b11210bdd1c9b98abe559aa377fba	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified_Ruminococcaceae	unclassified_Ruminococcaceae	0.9977275
00a475cc017345b25f6aa3dd9324d7a1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	unclassified_Blautia	0.8299048
00abc0203dadc49e18a7744d0bb8af1e	Firmicutes	Clostridia	Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	0.9997562
00b29dbcfbabb5a2a7656b78aa36fac4	Firmicutes	Clostridia	Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	0.9998387
00b8eb0e86881a5cbb82364acaea6431	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	unclassified_Dorea	0.9999599
00bdeb20c6ad1b20b3cb30cb7cd71b55	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified_Lachnospiraceae	unclassified_Lachnospiraceae	0.8756867
00bea0d59344122ef5fbfed417a30dc3	Tenericutes	Mollicutes	RF39	unclassified_RF39	unclassified_RF39	unclassified_RF39	1
00c56efec9f3a5efaa4bb8f043420ad7	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	unclassified_Coriobacteriaceae	unclassified_Coriobacteriaceae	0.9994572
00e65693941dbf07a7f0287005e77491	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia obeum	0.9237187
00ecbefe22f5c5827899ce1cbcc4d4ac	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	unclassified_Coprococcus	0.9461375
00ef3996a923c4b1e62e890a52c93418	Firmicutes	Clostridia	Clostridiales	Mogibacteriaceae	unclassified_Mogibacteriaceae	unclassified_Mogibacteriaceae	0.9999993
010abf531544b3a5bc560ce085d185b1	Firmicutes	Clostridia	Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	0.952059
01176895e2e1cb6032ffd2f2f9f4f00e	Fibrobacteres	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	Fibrobacter	Fibrobacter succinogenes	1
01183ea8fdd40c12cae950e893a78c18	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	unclassified_Coprococcus	0.9853651
0126d079c248dfe808054ff3023cf91f	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified_Lachnospiraceae	unclassified_Lachnospiraceae	0.7317336
013dc528bc30aabd9bbea5eaba362f00	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Akkermansia	unclassified_Akkermansia	1
