Phylum	Class	Order	Family	Genus	Species	Confidence	ASVs
Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	 g__Prevotella	0.9999999	2e58ed208e328a041a05626fd1502922
Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	 f__Enterobacteriaceae	 f__Enterobacteriaceae	1	973ffbd4e3128eca6423210fda77fa2c
Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	 s__coprophilus	0.9999999	b57a954469bc8b944515c31775df8842
Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	 g__Bifidobacterium	0.9995489	a09b58bd8ec236962ee2551cae46d046
Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	 g__Methanobrevibacter	1	2a02056bb1ab0a1fc8e6526f94fc5d38
Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	 g__Prevotella	0.9999643	8e069a1768e65fc66c625a81d098896d
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.9977116	5434e5bbb561525bdbb806d49dcfe6fd
Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	 g__Methanosphaera	0.9999997	f7693fa078df727c4e2568797b4e26a3
Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	 g__Bacteroides	0.9988047	cd052ea117eaee088711fa892ce6b94a
Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	 s__aerofaciens	0.9812635	0eb0daf4087d74b006f50a5a06899085
Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	 s__copri	0.9999994	3ff5fb0a07713beb3a88212fefe53231
Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	 s__fragilis	0.9984121	fb11d428bba1d909f2c48d4e70983933
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.9987203	c0a4573d567ff3145a43d284b8c43627
Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	 f__Prevotellaceae	 f__Prevotellaceae	0.8646935	41fd0e1ad54104ef5709586664d87233
Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	 g__Lactobacillus	0.9999954	d6623ae2bd9d88ce158b0dc9a2037e8c
Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	 g__Streptococcus	1	ea5f622fc386a7576b0e1194db2ecf98
Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	 s__luteciae	0.9601606	b43e1d89682a8111fbb01b17c4bbafe7
Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	 g__Methanobrevibacter	0.9999997	9efd803e917e5a045ed1bf773266635f
Bacteroidetes	Bacteroidia	Bacteroidales	 o__Bacteroidales	 o__Bacteroidales	 o__Bacteroidales	0.9977891	ef49b2704fae00a1f73378b7f05de69a
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Butyricicoccus	 s__pullicaecorum	0.9999889	badbfd2b58467ef60bc1d748035097b8
Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	 g__Prevotella	0.9999999	aae27ae0922499a5308913b0474d7669
Bacteroidetes	Bacteroidia	Bacteroidales	Paraprevotellaceae	Prevotella	 g__Prevotella	1	6c9f50c8ad4b5f92a89285755962bd24
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	 s__producta	0.9969083	29a02d7706085b2043d6ef307ed0fe6a
Bacteroidetes	Bacteroidia	Bacteroidales	Paraprevotellaceae	Prevotella	 g__Prevotella	0.9999998	dc5f4d5605daefa33876792e99545e4f
Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	 g__Bacteroides	0.9999971	79167a6daaa2d7bd1806085108fd9fb5
Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	 g__Prevotella	0.9999764	62aac79c6294f5e2cfb652b6044bd89f
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	 s__prausnitzii	0.9964851	32ef2c891d8942b56171c062f6213dad
Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	 g__Lactobacillus	0.9999991	ffd9a2cc9e7f9a800e0eebdf1cc469cf
Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	 g__Methanobrevibacter	0.9999995	e6d606ed1147307c859dee51205c2f01
Bacteroidetes	Bacteroidia	Bacteroidales	Paraprevotellaceae	Prevotella	 g__Prevotella	1	3c35f189d17f4235d5a85a91c2a6006c
Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	 g__Lactobacillus	0.9999615	a9f80dc5b97921074d4d246ae398bde3
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	 g__Blautia	0.9999668	de465877dc651a154f71a1a2fc396e69
Bacteroidetes	Bacteroidia	Bacteroidales	Paraprevotellaceae	YRC22	 g__YRC22	1	6147ab4145c405d9965be8701f6c7255
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	 s__prausnitzii	0.9999235	0a655a50de8390eff9a92f2f49079d6e
Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	 g__Bacteroides	0.9999971	9c8c867dbea7959e3cf3fcda5b499fb9
Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	 g__Prevotella	0.9999878	d1a361d0f589e8ba961c40b06d8e46a2
Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	 f__S24-7	 f__S24-7	0.9999975	1b1280793f51b052585c546e762effdc
Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	 f__Coriobacteriaceae	 f__Coriobacteriaceae	0.9781605	63ecd15586dfde9e3e671c12d838b76d
Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	 g__Prevotella	0.9895741	71726152366e62dac300b297cfeceb01
Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	 s__pseudolongum	0.8040504	766cb4f5e3ca92d7f98140844696990e
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.9586258	a0dfdf1015b501d52d8bbf0a98a958bf
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Subdoligranulum	 s__variabile	0.858943	a4adc2874da0a0f68b5b3f1c2737e835
Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella	 g__Veillonella	0.9998614	01cb89d55d38d2159eac159d1c794590
Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	 f__S24-7	 f__S24-7	1	b485c89d6bfe5add847faa82e7c79a8d
Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	 g__Enterococcus	0.8523963	86a54c84e36e2bd8257b11915c0be207
Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	Odoribacter	 g__Odoribacter	1	d5dd96b43b0e116abf5545ba66b0da50
Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	 g__Parabacteroides	0.9999998	e184e1348ac071996a237af4fb3193e3
Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Akkermansia	 s__muciniphila	1	5bda8a3aab2bdd1a04acd5c052a3d2da
Bacteroidetes	Bacteroidia	Bacteroidales	Paraprevotellaceae	CF231	 g__CF231	0.9999964	05d07ba6dff783fc690247fac1d24742
Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	 s__copri	0.9999994	3bd1ec91aff716bc10028ab86961e2c4
Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	 f__Rikenellaceae	 f__Rikenellaceae	0.9979956	09532dd01a30cc775f5c1a67b7127b30
Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Phascolarctobacterium	 g__Phascolarctobacterium	0.999999	c292ba21dbecf77455dd635be6879807
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.9967186	41f60cd0f74cc37bfe32096af9624258
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.986517	7354980b468b4c6546d3c7ad2f204675
Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	 s__copri	0.9999991	47b6da4c37d6807e40aac63247235505
Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	 s__salivarius	0.9111469	3db6389c467d7cb761260fcb16b6b8b4
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Ruminococcus	 s__gnavus	0.9998716	8d2cc47324312aebc17be24aa6056a66
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.9944863	e24c5a000ae34541a243675d8f666f21
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	 g__Blautia	0.9927991	78c5414395542387492c7444da5180f1
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	 g__Blautia	0.9936203	11090736ffa8fedc5f8b2d6c439d1812
Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	 g__Bacteroides	0.9128028	3be669c79b71499434e9ff16f6d304ab
Bacteroidetes	Bacteroidia	Bacteroidales	Paraprevotellaceae	YRC22	 g__YRC22	1	0095a30bc8902882a96c904c598be3dc
Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	 f__Coriobacteriaceae	 f__Coriobacteriaceae	0.9981132	58975903ce9f4b74b444a9cc65c2470d
